Subject,Trial Number,Type of Action,Object Type,GestureCondition,Word Order,Exclude,Spatial Cue,Randomizer,Randomizer Set,Clipped Movie File,Event,Word Order.Recode,Exclude.Recode,Spatial Cue.Recode,Used ASL,"""Embodied"" in some way",Comments,Spatial.Cue.Katy
2,16,Transitive,Person,Free,OSV,,1,0.615191754,3,Spatial_Clipped_039,Fireman kicks girl,OSV,,1,,,,NA
2,17,Intransitive,None,Free,SV,,0,0.050198721,3,Spatial_Clipped_040,Boy skates,SV,,0,,,,NA
2,18,Transitive,Person,Free,SOV,,1,0.050198721,3,Spatial_Clipped_040,Girl elbows old lady,SOV,,1,,E,,NA
2,19,Intransitive,None,Free,SV,,0,0.050198721,3,Spatial_Clipped_040,Ball rolls,SV,,0,,,,NA
2,20,Transitive,Object,Free,SOV,,1,0.050198721,3,Spatial_Clipped_040,Fireman throws star,SVO,,1,,E,,NA
2,21,Transitive,Person,Free,SOV,,1,0.374833627,3,Spatial_Clipped_041,Boy lifts girl,SOV,,1,,,,NA
2,22,Transitive,Object,Free,SOV,,1,0.374833627,3,Spatial_Clipped_041,Girl rubs heart,OSV,,1,,,,NA
2,23,Intransitive,None,Free,SV,,0,0.374833627,3,Spatial_Clipped_041,Car tumbles,SV,,0,,,,NA
2,24,Transitive,Object,Free,SOV,,1,0.374833627,3,Spatial_Clipped_041,Old lady elbows ball,OSV,,1,,E,,NA
2,25,Transitive,Person,Free,SOV,,1,0.57038058,3,Spatial_Clipped_042,Fireman pushes boy,SVO,,1,,,,NA
2,26,Intransitive,None,Free,SV,,0,0.57038058,3,Spatial_Clipped_042,Old lady jumps,SV,,0,,,,NA
2,27,Transitive,Object,Free,OSV,,1,0.57038058,3,Spatial_Clipped_042,Girl pushes car,SVO,,1,,,Gestured 'car' (1) and 'girl' (2) then (1) V (2) ,NA
2,28,Transitive,Object,Free,SOV,,1,0.57038058,3,Spatial_Clipped_042,Boy kicks ball,SVO,,1,,,,NA
3,5,Transitive,Object,Case,SOV,,0,0.698853876,5,Spatial_Clipped_055,Boy kicks ball,SOV,,1,,,,NA
3,6,Transitive,Object,Case,OSV,,0,0.698853876,5,Spatial_Clipped_055,Girl pushes car,SOV,,1,,E,,NA
3,7,Intransitive,None,Case,SV,,0,0.698853876,5,Spatial_Clipped_055,Old lady jumps,SV,,1,,E,,NA
3,8,Transitive,Person,Case,SOSV,,0,0.698853876,5,Spatial_Clipped_055,Fireman pushes boy,SOSV,,1,,E,,NA
3,9,Transitive,Object,Case,SOV,,1,0.293878998,5,Spatial_Clipped_056,Old lady elbows ball,SOV,,1,,E,,NA
3,10,Intransitive,None,Case,SV,,0,0.293878998,5,Spatial_Clipped_056,Car tumbles,SV,,1,,,,NA
3,11,Transitive,Object,Case,SOV,,1,0.293878998,5,Spatial_Clipped_056,Girl rubs heart,SOV,,1,,E,,NA
3,12,Transitive,Person,Case,SOV,,1,0.293878998,5,Spatial_Clipped_056,Boy lifts girl,SOV,,1,,E,,NA
3,13,Transitive,Object,Case,SOV,,1,0.43801656,5,Spatial_Clipped_057,Fireman throws star,SOV,,1,,E,,NA
3,14,Intransitive,None,Case,SV,,0,0.43801656,5,Spatial_Clipped_057,Ball rolls,SV,,1,,,,NA
