Participant,Original Filename ,Condition,New name,Clipped Files,Clipped Files,Clipped Files,Clipped Files,Clipped Files,Clipped Files,In AllData?
7,SC 7 G N 00222,FreeGesture,Spatial_07_Gesture.mp4,Spatial_Clipped_097,Spatial_Clipped_098,Spatial_Clipped_099,Spatial_Clipped_100,Spatial_Clipped_101,Spatial_Clipped_102,Yes
7,SC 7 G AI 00223,Case,Spatial_07_Case.mp4,Spatial_Clipped_103,Spatial_Clipped_104,Spatial_Clipped_105,Spatial_Clipped_106,Spatial_Clipped_107,Spatial_Clipped_108,Yes
8,SC 8 G N 00225,FreeGesture,Spatial_08_Gesture.mp4,Spatial_Clipped_109,Spatial_Clipped_110,Spatial_Clipped_111,Spatial_Clipped_112,Spatial_Clipped_113,Spatial_Clipped_114,Yes
8,SC 8 G AI 00226,Case,Spatial_08_Case.mp4,Spatial_Clipped_115,Spatial_Clipped_116,Spatial_Clipped_117,Spatial_Clipped_118,Spatial_Clipped_119,Spatial_Clipped_120,Yes
Subjects 9-12,,,Data lost,,,,,,,No
Subjects 13-20,,,Numbers not used,,,,,,,No
21,S1_00138.mp4,FreeGesture,Spatial_21_Gesture.mp4,Spatial_Clipped_001,Spatial_Clipped_002,Spatial_Clipped_003,Spatial_Clipped_004,Spatial_Clipped_005,Spatial_Clipped_006,Yes
21,"S1_00140.mp4, S1_00139.mp4",Case,Spatial_21_Case.mp4,Spatial_Clipped_007,Spatial_Clipped_008,Spatial_Clipped_009,Spatial_Clipped_010,Spatial_Clipped_011,Spatial_Clipped_012,Yes
22,S2_00142.mp4,FreeGesture,Spatial_22_Gesture.mp4,Spatial_Clipped_013,Spatial_Clipped_014,Spatial_Clipped_015,Spatial_Clipped_016,Spatial_Clipped_017,Spatial_Clipped_018,Yes
22,S2_00143.mp4,Case,Spatial_22_Case.mp4,Spatial_Clipped_019,Spatial_Clipped_020,Spatial_Clipped_021,Spatial_Clipped_022,Spatial_Clipped_023,Spatial_Clipped_024,Yes
23,S3_00147,FreeGesture,Spatial_23_Gesture.mp4,Spatial_Clipped_121,Spatial_Clipped_122,Spatial_Clipped_123,Spatial_Clipped_124,Spatial_Clipped_125,Spatial_Clipped_126,Yes
23,S3_00148,Case,Spatial_23_Case.mp4,Spatial_Clipped_127,Spatial_Clipped_128,Spatial_Clipped_129,Spatial_Clipped_130,Spatial_Clipped_131,Spatial_Clipped_132,Yes
24,"Don't use, doesn't have Casemarking movie",,,,,,,,,No
25,"S5_00154, S5_00155",FreeGesture,Spatial_25_Gesture.mp4,Spatial_Clipped_133,Spatial_Clipped_134,Spatial_Clipped_135,Spatial_Clipped_136,Spatial_Clipped_137,Spatial_Clipped_138,Yes
25,S5_00156,Case,Spatial_25_Case.mp4,Spatial_Clipped_139,Spatial_Clipped_140,Spatial_Clipped_141,Spatial_Clipped_142,Spatial_Clipped_143,Spatial_Clipped_144,Yes
26,S6_00158,FreeGesture,Spatial_26_Gesture.mp4,Spatial_Clipped_145,Spatial_Clipped_146,Spatial_Clipped_147,Spatial_Clipped_148,Spatial_Clipped_149,Spatial_Clipped_150,Yes
26,S6_00159,Case,Spatial_26_Case.mp4,Spatial_Clipped_151,Spatial_Clipped_152,Spatial_Clipped_153,Spatial_Clipped_154,Spatial_Clipped_155,Spatial_Clipped_156,Yes
27,S7_00161,FreeGesture,Spatial_27_Gesture,Spatial_Clipped_157,Spatial_Clipped_158,Spatial_Clipped_159,Spatial_Clipped_160,Spatial_Clipped_161,Spatial_Clipped_162,Yes
27,S7_00162,Case,Spatial_27_Case,Spatial_Clipped_163,Spatial_Clipped_164,Spatial_Clipped_165,Spatial_Clipped_166,Spatial_Clipped_167,Spatial_Clipped_168,Yes
28,S8_00164,FreeGesture,Spatial_28_Gesture,Spatial_Clipped_169,Spatial_Clipped_170,Spatial_Clipped_171,Spatial_Clipped_172,Spatial_Clipped_173,Spatial_Clipped_174,No
28,"S8_00165, S8_00166",Case,Spatial_28_Case,Spatial_Clipped_175,Spatial_Clipped_176,Spatial_Clipped_177,Spatial_Clipped_178,Spatial_Clipped_179,Spatial_Clipped_180,No
29,S9_00168,FreeGesture,Spatial_29_Gesture,Spatial_Clipped_181,Spatial_Clipped_182,Spatial_Clipped_183,Spatial_Clipped_184,Spatial_Clipped_185,Spatial_Clipped_186,Yes
29,S9_00170,Case,Spatial_29_Case,Spatial_Clipped_187,Spatial_Clipped_188,Spatial_Clipped_189,Spatial_Clipped_190,Spatial_Clipped_191,Spatial_Clipped_192,Yes
30,s10_00172,FreeGesture,Spatial_30_Gesture,Spatial_Clipped_193,Spatial_Clipped_194,Spatial_Clipped_195,Spatial_Clipped_196,Spatial_Clipped_197,Spatial_Clipped_198,Yes
30,S10_00174,Case,Spatial_30_Case,Spatial_Clipped_199,Spatial_Clipped_200,Spatial_Clipped_201,Spatial_Clipped_202,Spatial_Clipped_203,Spatial_Clipped_204,Yes
31,"S11_00176, S11_00177",FreeGesture,Spatial_31_Gesture,Spatial_Clipped_205,Spatial_Clipped_206,Spatial_Clipped_207,Spatial_Clipped_208,Spatial_Clipped_209,Spatial_Clipped_210,Yes
31,S11_00179,Case,Spatial_31_Case,Spatial_Clipped_211,Spatial_Clipped_212,Spatial_Clipped_213,Spatial_Clipped_214,Spatial_Clipped_215,Spatial_Clipped_216,Yes
32,S12_00182,FreeGesture,Spatial_32_Gesture,Spatial_Clipped_217,Spatial_Clipped_218,Spatial_Clipped_219,Spatial_Clipped_220,Spatial_Clipped_221,Spatial_Clipped_222,Yes
32,S12_00184,Case,Spatial_32_Case,Spatial_Clipped_223,Spatial_Clipped_224,Spatial_Clipped_225,Spatial_Clipped_226,Spatial_Clipped_227,Spatial_Clipped_228,Yes
33,S13_00187,FreeGesture,Spatial_33_Gesture,Spatial_Clipped_229,Spatial_Clipped_230,Spatial_Clipped_231,Spatial_Clipped_232,Spatial_Clipped_233,Spatial_Clipped_234,Yes
33,"S13_00188, S13_00189",Case,Spatial_33_Case,Spatial_Clipped_235,Spatial_Clipped_236,Spatial_Clipped_237,Spatial_Clipped_238,Spatial_Clipped_239,Spatial_Clipped_240,Yes
34,"S14_00191, S14_00192",FreeGesture,Spatial_34_Gesture,Spatial_Clipped_241,Spatial_Clipped_242,Spatial_Clipped_243,Spatial_Clipped_244,Spatial_Clipped_245,Spatial_Clipped_246,Yes
34,S14_00193,Case,Spatial_34_Case,Spatial_Clipped_247,Spatial_Clipped_248,Spatial_Clipped_249,Spatial_Clipped_250,Spatial_Clipped_251,Spatial_Clipped_252,Yes
35,S15_00197-S15_00202,FreeGesture,"Don't use, doesn't have casemarking video",,,,,,,No
36,"S16_00205, S16_00206",Case,Spatial_36_Gesture,Spatial_Clipped_253,Spatial_Clipped_254,Spatial_Clipped_255,Spatial_Clipped_256,Spatial_Clipped_257,Spatial_Clipped_258,Yes
36,S16_00207,FreeGesture,Spatial_36_Case,Spatial_Clipped_259,Spatial_Clipped_260,Spatial_Clipped_261,Spatial_Clipped_262,Spatial_Clipped_263,Spatial_Clipped_264,Yes
37,S17_00210,Case,Spatial_37_Gesture,Spatial_Clipped_265,Spatial_Clipped_266,Spatial_Clipped_267,Spatial_Clipped_268,Spatial_Clipped_269,Spatial_Clipped_270,Yes
37,"S17_00211, S17_00212",FreeGesture,Spatial_37_Case,Spatial_Clipped_271,Spatial_Clipped_272,Spatial_Clipped_273,Spatial_Clipped_274,Spatial_Clipped_275,Spatial_Clipped_276,Yes
38,S18_00002,Case,Spatial_38_Gesture,Spatial_Clipped_277,Spatial_Clipped_278,Spatial_Clipped_279,Spatial_Clipped_280,Spatial_Clipped_281,Spatial_Clipped_282,Yes
38,S18_00003,FreeGesture,Spatial_38_Case,Spatial_Clipped_283,Spatial_Clipped_284,Spatial_Clipped_285,Spatial_Clipped_286,Spatial_Clipped_287,Spatial_Clipped_288,Yes
39,Number not Used,,,,,,,,,
40,Spatial _40_05142013.MTS,FreeGesture,,,,,,,,No
40,Spatial _40_05142013.MTS,Case,,,,,,,,No
41,Spatial _41_05142013.MTS,FreeGesture,,,,,,,,No
41,Spatial _41_05142013.MTS,Case,,,,,,,,No
42,Spatial _42_05142013.MTS,FreeGesture,,,,,,,,No
42,Spatial _42_05142013.MTS,Case,,,,,,,,No
43,Spatial _43_05142013.MTS,FreeGesture,,,,,,,,No
43,Spatial _43_05142013.MTS,Case,,,,,,,,No
44,Spatial _44_05142013.MTS,FreeGesture,,,,,,,,No
44,Spatial _44_05142013.MTS,Case,,,,,,,,No
45,Spatial _45_05162013.MTS,FreeGesture,,Spatial_Clipped_289,Spatial_Clipped_290,Spatial_Clipped_291,Spatial_Clipped_292,Spatial_Clipped_293,Spatial_Clipped_294,Yes
45,Spatial _45_05162013.MTS,Case,,Spatial_Clipped_295,Spatial_Clipped_296,Spatial_Clipped_297,Spatial_Clipped_298,Spatial_Clipped_299,Spatial_Clipped_300,Yes
46,Spatial _46_05162013.MTS,FreeGesture,,Spatial_Clipped_301,Spatial_Clipped_302,Spatial_Clipped_303,Spatial_Clipped_304,Spatial_Clipped_305,Spatial_Clipped_306,Yes
46,Spatial _46_05162013.MTS,Case,,Spatial_Clipped_307,Spatial_Clipped_308,Spatial_Clipped_309,Spatial_Clipped_310,Spatial_Clipped_311,Spatial_Clipped_312,Yes
47,Spatial _47_05162013.MTS,FreeGesture,,Spatial_Clipped_313,Spatial_Clipped_314,Spatial_Clipped_315,Spatial_Clipped_316,Spatial_Clipped_317,Spatial_Clipped_318,Yes
47,Spatial _47_05162013.MTS,Case,,Spatial_Clipped_319,Spatial_Clipped_320,Spatial_Clipped_321,Spatial_Clipped_322,Spatial_Clipped_323,Spatial_Clipped_324,Yes
48,Spatial _48_05142013.MTS,FreeGesture,,Spatial_Clipped_325,Spatial_Clipped_326,Spatial_Clipped_327,Spatial_Clipped_328,Spatial_Clipped_329,Spatial_Clipped_330,Yes
48,Spatial _48_05142013.MTS,Case,,Spatial_Clipped_331,Spatial_Clipped_332,Spatial_Clipped_333,Spatial_Clipped_334,Spatial_Clipped_335,Spatial_Clipped_336,Yes
49,Spatial _49_05142013.MTS,FreeGesture,,Spatial_Clipped_337,Spatial_Clipped_338,Spatial_Clipped_339,Spatial_Clipped_340,Spatial_Clipped_341,Spatial_Clipped_342,Yes
49,Spatial _49_05142013.MTS,Case,,Spatial_Clipped_343,Spatial_Clipped_344,Spatial_Clipped_345,Spatial_Clipped_346,Spatial_Clipped_347,Spatial_Clipped_348,Yes
50,Spatial _50_05142013.MTS,FreeGesture,,Spatial_Clipped_349,Spatial_Clipped_350,Spatial_Clipped_351,Spatial_Clipped_352,Spatial_Clipped_353,Spatial_Clipped_354,Yes
50,Spatial _50_05142013.MTS,Case,,Spatial_Clipped_355,Spatial_Clipped_356,Spatial_Clipped_357,Spatial_Clipped_358,Spatial_Clipped_359,Spatial_Clipped_360,Yes
51,Spatial _51_05142013.MTS,FreeGesture,,DNR,,,,,,No
51,Spatial _51_05142013.MTS,Case,,DNR,,,,,,No
52,Spatial _52_05142013.MTS,FreeGesture,,Spatial_Clipped_361,Spatial_Clipped_362,Spatial_Clipped_363,Spatial_Clipped_364,Spatial_Clipped_365,Spatial_Clipped_366,Yes
52,Spatial _52_05142013.MTS,Case,,Spatial_Clipped_367,Spatial_Clipped_368,Spatial_Clipped_369,Spatial_Clipped_370,Spatial_Clipped_371,Spatial_Clipped_372,Yes
53,Spatial _53_05142013.MTS,FreeGesture,,Spatial_Clipped_373,Spatial_Clipped_374,Spatial_Clipped_375,Spatial_Clipped_376,Spatial_Clipped_377,Spatial_Clipped_378,Yes
53,Spatial _53_05142013.MTS,Case,,Spatial_Clipped_379,Spatial_Clipped_380,Spatial_Clipped_381,Spatial_Clipped_382,Spatial_Clipped_383,Spatial_Clipped_384,Yes
54,Spatial _54_05142013.MTS,FreeGesture,,Spatial_Clipped_385,Spatial_Clipped_386,Spatial_Clipped_387,Spatial_Clipped_388,Spatial_Clipped_389,Spatial_Clipped_390,Yes
54,Spatial _54_05142013.MTS,Case,,Spatial_Clipped_391,Spatial_Clipped_392,Spatial_Clipped_393,Spatial_Clipped_394,Spatial_Clipped_395,Spatial_Clipped_396,Yes
55,Spatial _55_05142013.MTS,FreeGesture,,,,,,,,No
55,Spatial _55_05142013.MTS,Case,,,,,,,,No
56,Spatial _56_05142013.MTS,FreeGesture,,,,,,,,No
56,Spatial _56_05142013.MTS,Case,,,,,,,,No
57,Spatial _57_05142013.MTS,FreeGesture,,Spatial_Clipped_397,Spatial_Clipped_398,Spatial_Clipped_399,Spatial_Clipped_400,Spatial_Clipped_401,Spatial_Clipped_402,
57,Spatial _57_05142013.MTS,Case,,Spatial_Clipped_403,Spatial_Clipped_404,Spatial_Clipped_405,Spatial_Clipped_406,Spatial_Clipped_407,Spatial_Clipped_408,
58,Spatial _58_05142013.MTS,FreeGesture,,Spatial_Clipped_409,Spatial_Clipped_410,Spatial_Clipped_411,Spatial_Clipped_412,Spatial_Clipped_413,Spatial_Clipped_414,
58,Spatial _58_05142013.MTS,Case,,Spatial_Clipped_415,Spatial_Clipped_416,Spatial_Clipped_417,Spatial_Clipped_418,Spatial_Clipped_419,Spatial_Clipped_420,
59,Spatial _59_05142013.MTS,FreeGesture,,,,,,,,No
59,Spatial _59_05142013.MTS,Case,,,,,,,,No
60,Spatial _60_05142013.MTS,FreeGesture,,Spatial_Clipped_421,Spatial_Clipped_422,Spatial_Clipped_423,Spatial_Clipped_424,Spatial_Clipped_425,Spatial_Clipped_426,
60,Spatial _60_05142013.MTS,Case,,Spatial_Clipped_427,Spatial_Clipped_428,Spatial_Clipped_429,Spatial_Clipped_430,Spatial_Clipped_431,Spatial_Clipped_432,
61,Spatial _61_05142013.MTS,FreeGesture,,Spatial_Clipped_433,Spatial_Clipped_434,Spatial_Clipped_435,Spatial_Clipped_436,Spatial_Clipped_437,Spatial_Clipped_438,
61,Spatial _61_05142013.MTS,Case,,Spatial_Clipped_439,Spatial_Clipped_440,Spatial_Clipped_441,Spatial_Clipped_442,Spatial_Clipped_443,Spatial_Clipped_444,
62,Spatial _62_05142013.MTS,FreeGesture,,Spatial_Clipped_445,Spatial_Clipped_446,Spatial_Clipped_447,Spatial_Clipped_448,Spatial_Clipped_449,Spatial_Clipped_450,
62,Spatial _62_05142013.MTS,Case,,Spatial_Clipped_451,Spatial_Clipped_452,Spatial_Clipped_453,Spatial_Clipped_454,Spatial_Clipped_455,Spatial_Clipped_456,
63,Spatial _63_05142013.MTS,FreeGesture,,Spatial_Clipped_457,Spatial_Clipped_458,Spatial_Clipped_459,Spatial_Clipped_460,Spatial_Clipped_461,Spatial_Clipped_462,
63,Spatial _63_05142013.MTS,Case,,Spatial_Clipped_463,Spatial_Clipped_464,Spatial_Clipped_465,Spatial_Clipped_466,Spatial_Clipped_467,Spatial_Clipped_468,
64,Spatial _64_05142013.MTS,FreeGesture,,Spatial_Clipped_469,Spatial_Clipped_470,Spatial_Clipped_471,Spatial_Clipped_472,Spatial_Clipped_473,Spatial_Clipped_474,
64,Spatial _64_05142013.MTS,Case,,Spatial_Clipped_475,Spatial_Clipped_476,Spatial_Clipped_477,Spatial_Clipped_478,Spatial_Clipped_479,Spatial_Clipped_480,
65,Spatial _65_05142013.MTS,FreeGesture,,Spatial_Clipped_481,Spatial_Clipped_482,Spatial_Clipped_483,Spatial_Clipped_484,Spatial_Clipped_485,Spatial_Clipped_486,
65,Spatial _65_05142013.MTS,Case,,Spatial_Clipped_487,Spatial_Clipped_488,Spatial_Clipped_489,Spatial_Clipped_490,Spatial_Clipped_491,Spatial_Clipped_492,
66,Spatial _66_05142013.MTS,FreeGesture,,Spatial_Clipped_493,Spatial_Clipped_494,Spatial_Clipped_495,Spatial_Clipped_496,Spatial_Clipped_497,Spatial_Clipped_498,
66,Spatial _66_05142013.MTS,Case,,Spatial_Clipped_499,Spatial_Clipped_500,Spatial_Clipped_501,Spatial_Clipped_502,Spatial_Clipped_503,Spatial_Clipped_504,
67,Spatial _67_05142013.MTS,FreeGesture,,Spatial_Clipped_505,Spatial_Clipped_506,Spatial_Clipped_507,Spatial_Clipped_508,Spatial_Clipped_509,Spatial_Clipped_510,
67,Spatial _67_05142013.MTS,Case,,Spatial_Clipped_511,Spatial_Clipped_512,Spatial_Clipped_513,Spatial_Clipped_514,Spatial_Clipped_515,Spatial_Clipped_516,
