"","Subject","GestureCondition","Trial.Number","Clipped.Movie.File","Word.Order","Word.Order.Recode","Initial.Coder","Blind.Coder"
"1704",62,"Case",28,"Spatial_Clipped_456 ","SOSV","SOV ","Miguel","Caitlin"
"1705",62,"Free",5,"Spatial_Clipped_445 ","SV","SV ","Miguel","Caitlin"
"1706",62,"Free",6,"Spatial_Clipped_445 ","SV","SV ","Miguel","Caitlin"
"1707",62,"Free",7,"Spatial_Clipped_445 ","SV","SV ","Miguel","Caitlin"
"1708",62,"Free",8,"Spatial_Clipped_445 ","SOSVO","SOV ","Miguel","Caitlin"
"1709",62,"Free",9,"Spatial_Clipped_446 ","SOV","SOV ","Miguel","Caitlin"
"1710",62,"Free",10,"Spatial_Clipped_446 ","SV","SV ","Miguel","Caitlin"
"1711",62,"Free",11,"Spatial_Clipped_446 ","SOV","SOV ","Miguel","Caitlin"
"1712",62,"Free",12,"Spatial_Clipped_446 ","SOV","SOV ","Miguel","Caitlin"
"1713",62,"Free",13,"Spatial_Clipped_447 ","SOV","SOV ","Miguel","Caitlin"
"1714",62,"Free",14,"Spatial_Clipped_447 ","SV","SV ","Miguel","Caitlin"
"1715",62,"Free",15,"Spatial_Clipped_447 ","OSV","SOV ","Miguel","Caitlin"
"1716",62,"Free",16,"Spatial_Clipped_447 ","SV","SV ","Miguel","Caitlin"
"1717",62,"Free",17,"Spatial_Clipped_448 ","SOV","SOV ","Miguel","Caitlin"
"1718",62,"Free",18,"Spatial_Clipped_448 ","SOV","SOV ","Miguel","Caitlin"
"1719",62,"Free",19,"Spatial_Clipped_448 ","SOV","SOV ","Miguel","Caitlin"
"1720",62,"Free",20,"Spatial_Clipped_448 ","SOV","SOV ","Miguel","Caitlin"
"1721",62,"Free",21,"Spatial_Clipped_449 ","SV","SV ","Miguel","Caitlin"
"1722",62,"Free",22,"Spatial_Clipped_449 ","SV","SV ","Miguel","Caitlin"
"1723",62,"Free",23,"Spatial_Clipped_449 ","SV","SV ","Miguel","Caitlin"
"1724",62,"Free",24,"Spatial_Clipped_449 ","OSV","OSV ","Miguel","Caitlin"
"1725",62,"Free",25,"Spatial_Clipped_450 ","SOV","SOV ","Miguel","Caitlin"
"1726",62,"Free",26,"Spatial_Clipped_450 ","SOSV","SOV ","Miguel","Caitlin"
"1727",62,"Free",27,"Spatial_Clipped_450 ","SV","SV ","Miguel","Caitlin"
"1728",62,"Free",28,"Spatial_Clipped_450 ","SOSV","SOV ","Miguel","Caitlin"
"1756",63,"Free",8,"Spatial_Clipped_457","SVO","SOV","Miguel","Caitlin"
"1768",63,"Free",20,"Spatial_Clipped_460","SVO","SOV","Miguel","Caitlin"
"1782",64,"Case",10,"Spatial_Clipped_476","SV","SVSV","Miguel","Cristina"
"1785",64,"Case",13,"Spatial_Clipped_477","SOV","SOVO","Miguel","Cristina"
"1786",64,"Case",14,"Spatial_Clipped_477","SV","SVSV","Miguel","Cristina"
"1787",64,"Case",15,"Spatial_Clipped_477","OSV","SOV","Miguel","Cristina"
"1788",64,"Case",16,"Spatial_Clipped_477","SV","SVS","Miguel","Cristina"
"1798",64,"Case",26,"Spatial_Clipped_480","OSV","SOV","Miguel","Cristina"
"1799",64,"Case",27,"Spatial_Clipped_480","SV","SVS","Miguel","Cristina"
"1802",64,"Free",6,"Spatial_Clipped_469","SOVO","SOV","Miguel","Cristina"
"1803",64,"Free",7,"Spatial_Clipped_469","?","SVS","Miguel","Cristina"
"1804",64,"Free",8,"Spatial_Clipped_469","?","SOSO","Miguel","Cristina"
"1808",64,"Free",12,"Spatial_Clipped_470","?","SOV","Miguel","Cristina"
"1809",64,"Free",13,"Spatial_Clipped_471","SOV","SOVO","Miguel","Cristina"
"1810",64,"Free",14,"Spatial_Clipped_471","SV","SVSV","Miguel","Cristina"
"1811",64,"Free",15,"Spatial_Clipped_471","OSV","SOV ","Miguel","Cristina"
"1814",64,"Free",18,"Spatial_Clipped_472","SOV","SVO","Miguel","Cristina"
"1822",64,"Free",26,"Spatial_Clipped_474","SVO","SOV","Miguel","Cristina"
"1825",65,"Case",5,"Spatial_Clipped_487","SOV","SOSV","Miguel","Cristina"
"1849",65,"Free",5,"Spatial_Clipped_481","VO","SV","Miguel","Cristina"
"1850",65,"Free",6,"Spatial_Clipped_481","VO","OV","Miguel","Cristina"
"1853",65,"Free",9,"Spatial_Clipped_482","SV","OSV","Miguel","Cristina"
"1876",66,"Case",8,"Spatial_Clipped_499","SV","S(VO)","Miguel","Caitlin"
"1888",66,"Case",20,"Spatial_Clipped_502","SOVO","SOV","Miguel","Caitlin"
"1892",66,"Case",24,"Spatial_Clipped_503","SOSV","SOV","Miguel","Caitlin"
"1895",66,"Case",27,"Spatial_Clipped_504","SVOSVO","SVO","Miguel","Caitlin"
"1914",66,"Free",22,"Spatial_Clipped_497","SVO","SOV","Miguel","Caitlin"
"1921",67,"Case",5,"Spatial_Clipped_511","SOV","OVS","Miguel","Caitlin"
"1922",67,"Case",6,"Spatial_Clipped_511","SOV","OSV","Miguel","Caitlin"
"1924",67,"Case",8,"Spatial_Clipped_511","SOV","OSV","Miguel","Caitlin"
"1927",67,"Case",11,"Spatial_Clipped_512","SOSV","OSV","Miguel","Caitlin"
"1928",67,"Case",12,"Spatial_Clipped_512","SOV","OSV","Miguel","Caitlin"
"1931",67,"Case",15,"Spatial_Clipped_513","OSV","SOV","Miguel","Caitlin"
"1933",67,"Case",17,"Spatial_Clipped_514","SOV","OSV","Miguel","Caitlin"
"1934",67,"Case",18,"Spatial_Clipped_514","SOV","OSV","Miguel","Caitlin"
"1935",67,"Case",19,"Spatial_Clipped_514","SOV","OSV","Miguel","Caitlin"
"1936",67,"Case",20,"Spatial_Clipped_514","SOV","OSV","Miguel","Caitlin"
"1941",67,"Case",25,"Spatial_Clipped_516","OSV","(OS)V","Miguel","Caitlin"
"1942",67,"Case",26,"Spatial_Clipped_516","OSV","(OS)V","Miguel","Caitlin"
"1944",67,"Case",28,"Spatial_Clipped_516","SOV","(OS)V","Miguel","Caitlin"
"1946",67,"Free",6,"Spatial_Clipped_505","SOVO","OV","Miguel","Caitlin"
"1947",67,"Free",7,"Spatial_Clipped_505","?","SV","Miguel","Caitlin"
"1948",67,"Free",8,"Spatial_Clipped_505","?","V","Miguel","Caitlin"
"1951",67,"Free",11,"Spatial_Clipped_506","SOV","OV","Miguel","Caitlin"
"1952",67,"Free",12,"Spatial_Clipped_506","?","SV","Miguel","Caitlin"
"1953",67,"Free",13,"Spatial_Clipped_507","SOV","OV","Miguel","Caitlin"
"1955",67,"Free",15,"Spatial_Clipped_507","OSV","VO","Miguel","Caitlin"
"1957",67,"Free",17,"Spatial_Clipped_508","SVO","(SO)V","Miguel","Caitlin"
"1958",67,"Free",18,"Spatial_Clipped_508","SOV","OSV","Miguel","Caitlin"
"1959",67,"Free",19,"Spatial_Clipped_508","SOV","SV","Miguel","Caitlin"
"1960",67,"Free",20,"Spatial_Clipped_508","SOV","OV","Miguel","Caitlin"
"1965",67,"Free",25,"Spatial_Clipped_510","SOV","OV","Miguel","Caitlin"
"1966",67,"Free",26,"Spatial_Clipped_510","SVO","SV","Miguel","Caitlin"
"1968",67,"Free",28,"Spatial_Clipped_510","SOV","OV","Miguel","Caitlin"
