"","Subject","Clipped.Movie.File","Trial.Number","GestureCondition","Object.Type","Sentence","Used.ASL","Final.Full.WordOrder","WordOrder","WordOrder.Classified","SpatialCue","Agent.Embod","Verb.Embod","Patient.Embod","WordOrder.Embod.Classified","ToInclude.Participant"
"101",5,"Spatial_Clipped_074",12,"Free","Person","Boy lifts girl","","SVO","SVO","VerbMedial","Spatial.Absent","1","1","1","Adjacent",1
"102",5,"Spatial_Clipped_074",9,"Free","Object","Old lady elbows ball","","OSV","OSV","VerbLateral","Spatial.Present","1","1","0","Adjacent",1
"103",5,"Spatial_Clipped_075",13,"Free","Object","Fireman throws star","","SVO","SVO","VerbMedial","Spatial.Absent","1","1","0","Adjacent",1
"104",5,"Spatial_Clipped_075",15,"Free","Person","Girl elbows old lady","","SVOV","VOV","Unclassified","Spatial.Present","1","1","1","Unclassified",1
"105",5,"Spatial_Clipped_076",17,"Free","Person","Fireman kicks girl","","SVO","SVO","VerbMedial","Spatial.Absent","1","1","1","Adjacent",1
"106",5,"Spatial_Clipped_076",18,"Free","Object","Old lady kisses star","","OSV","OSV","VerbLateral","Spatial.Present","1","1","0","Adjacent",1
"107",5,"Spatial_Clipped_076",19,"Free","Person","Old lady rubs fireman","","SVO","SVO","VerbMedial","Spatial.Absent","1","1","1","Adjacent",1
"108",5,"Spatial_Clipped_076",20,"Free","Person","Girl throws old lady","","SVO","SVO","VerbMedial","Spatial.Absent","1","1","1","Adjacent",1
"109",5,"Spatial_Clipped_077",24,"Free","Object","Boy pokes heart","","OSV","OSV","VerbLateral","Spatial.Present","1","1","0","Adjacent",1
"110",5,"Spatial_Clipped_078",25,"Free","Object","Fireman lifts car","","OSV","OSV","VerbLateral","Spatial.Present","1","1","0","Adjacent",1
"111",5,"Spatial_Clipped_078",26,"Free","Person","Old lady pokes fireman","","OSV","OSV","VerbLateral","Spatial.Present","1","1","1","Adjacent",1
"112",5,"Spatial_Clipped_078",28,"Free","Person","Girl kisses boy","","OSV","OSV","VerbLateral","Spatial.Present","1","1","1","Adjacent",1
"113",5,"Spatial_Clipped_079",5,"Case","Object","Boy kicks ball","","OSV","OSV","VerbLateral","Spatial.Present","0","0","0","Adjacent",1
"114",5,"Spatial_Clipped_079",6,"Case","Object","Girl pushes car","","VSOV","SOV","VerbLateral","Spatial.Present","0","1","0","NonAdjacent",1
"115",5,"Spatial_Clipped_079",8,"Case","Person","Fireman pushes boy","","VSOV","SOV","VerbLateral","Spatial.Present","1","1","0","NonAdjacent",1
"116",5,"Spatial_Clipped_080",11,"Case","Object","Girl rubs heart","","VSOV","SOV","VerbLateral","Spatial.Present","1","1","0","NonAdjacent",1
"117",5,"Spatial_Clipped_080",12,"Case","Person","Boy lifts girl","","VSOV","SOV","VerbLateral","Spatial.Present","1","1","1","NonAdjacent",1
"118",5,"Spatial_Clipped_080",9,"Case","Object","Old lady elbows ball","","VOSV","OSV","VerbLateral","Spatial.Present","1","1","0","Adjacent",1
"119",5,"Spatial_Clipped_081",13,"Case","Object","Fireman throws star","","VSOV","SOV","VerbLateral","Spatial.Present","1","1","0","NonAdjacent",1
"120",5,"Spatial_Clipped_081",15,"Case","Person","Girl elbows old lady","","VOSV","OSV","VerbLateral","Spatial.Present","1","1","1","Adjacent",1
