,Subject,GestureCondition,Trial.Number,Clipped.Movie.File,Event,Eun.Last3,Mig.Last3,Initial.Coder,Blind.Coder,Final.Decision,Final.Clean,Multiple.V,Discussed.With,Disagree.Reason
437,22,Case,9,Spatial_Clipped_020,Old lady elbows ball,SOV,SVO,Eunice,Miguel,SVO,SVO,0,Mitchell,V position
439,22,Case,11,Spatial_Clipped_020,Girl rubs heart,SOV,SVO,Eunice,Miguel,SVO,SVO,0,Mitchell,V position
440,22,Case,12,Spatial_Clipped_020,Boy lifts girl,SVO,SOV,Eunice,Miguel,SOV,SOV,0,Mitchell,V position
441,22,Case,13,Spatial_Clipped_021,Fireman throws star,SOV,SVO,Eunice,Miguel,SVOV,VOV,0,Mitchell,V position
443,22,Case,15,Spatial_Clipped_021,Girl elbows old lady,,SOV,Eunice,Miguel,SOV,SOV,0,Mitchell,Not Coded
445,22,Case,17,Spatial_Clipped_022,Fireman kicks girl,,SOV,Eunice,Miguel,SOV,SOV,0,Mitchell,Not Coded
446,22,Case,18,Spatial_Clipped_022,Old lady kisses star,SOV,SVO,Eunice,Miguel,SVO,SVO,0,Mitchell,V position
452,22,Case,24,Spatial_Clipped_023,Boy pokes heart,SOV,SVO,Eunice,Miguel,SVO,SVO,0,Mitchell,V position
453,22,Case,25,Spatial_Clipped_024,Fireman lifts car,SOV,SVO,Eunice,Miguel,SVO,SVO,0,Mitchell,V position
454,22,Case,26,Spatial_Clipped_024,Old lady pokes fireman,SVO,SOV,Eunice,Miguel,SOV,SOV,0,Mitchell,V position
456,22,Case,28,Spatial_Clipped_024,Girl kisses boy,SVO,SOV,Eunice,Miguel,SOV,SOV,0,Mitchell,V position
529,25,Case,5,Spatial_Clipped_139,Girl kisses boy,SV,SOV,Eunice,Miguel,SOV,SOV,0,Mitchell,Missing Letter
531,25,Case,7,Spatial_Clipped_139,Old lady pokes fireman,,OSV,Eunice,Miguel,OSV,OSV,0,Mitchell,Not Coded
532,25,Case,8,Spatial_Clipped_139,Fireman lifts car,OSV,SOV,Eunice,Miguel,S(OV),S(OV),0,Mitchell,SO Confusion
533,25,Case,9,Spatial_Clipped_140,Boy pokes heart,SV,OSV,Eunice,Miguel,OV,OV,0,Mitchell,Missing Letter
537,25,Case,13,Spatial_Clipped_141,Girl throws old lady,OSV,V,Eunice,Miguel,V,V,0,Mitchell,Missing Letter
540,25,Case,16,Spatial_Clipped_141,Fireman kicks girl,SV,OSV,Eunice,Miguel,OSV,OSV,0,Mitchell,Missing Letter
542,25,Case,18,Spatial_Clipped_142,Girl elbows old lady,SV,SOV,Eunice,Miguel,OSV,OSV,0,Mitchell,Missing Letter
545,25,Case,21,Spatial_Clipped_143,Boy lifts girl,OSV,V,Eunice,Miguel,SOV,SOV,0,Mitchell,Missing Letter
546,25,Case,22,Spatial_Clipped_143,Girl rubs heart,SV,OVS,Eunice,Miguel,OVS,OVS,0,Mitchell,Missing Letter
548,25,Case,24,Spatial_Clipped_143,Old lady elbows ball,OSV,V,Eunice,Miguel,NA,,0,,Missing Letter
549,25,Case,25,Spatial_Clipped_144,Fireman pushes boy,SOV,OSV,Eunice,Miguel,OSV,OSV,0,Mitchell,SO Confusion
552,25,Case,28,Spatial_Clipped_144,Boy kicks ball,SOV,OSV,Eunice,Miguel,OSV,OSV,0,Mitchell,SO Confusion
555,25,Free,7,Spatial_Clipped_133,Old lady pokes fireman,SOV,VOS,Eunice,Miguel,VSOV,,0,,V position
564,25,Free,16,Spatial_Clipped_135,Fireman kicks girl,V,OSV,Eunice,Miguel,OSV,OSV,0,Mitchell,Missing Letter
568,25,Free,20,Spatial_Clipped_136,Fireman throws star,OV,OSV,Eunice,Miguel,OV,OV,0,Mitchell,Missing Letter
573,25,Free,25,Spatial_Clipped_138,Fireman pushes boy,V,VO,Eunice,Miguel,VO,VO,0,Mitchell,Missing Letter
576,25,Free,28,Spatial_Clipped_138,Boy kicks ball,V,SOV,Eunice,Miguel,SOV,SOV,0,Mitchell,Missing Letter
580,26,Case,8,Spatial_Clipped_151,Fireman pushes boy,,SVO,Eunice,Miguel,SVOSVO,SVO,1,Mitchell,Not Coded
587,26,Case,15,Spatial_Clipped_153,Girl elbows old lady,,SOV,Eunice,Miguel,SOSOVSOV,SOV,1,Mitchell,Not Coded
591,26,Case,19,Spatial_Clipped_154,Old lady rubs fireman,OSV,SOV,Eunice,Miguel,SOV,SOV,0,Mitchell,SO Confusion
597,26,Case,25,Spatial_Clipped_156,Fireman lifts car,OV,SOV,Eunice,Miguel,SOV,SOV,0,Mitchell,Missing Letter
598,26,Case,26,Spatial_Clipped_156,Old lady pokes fireman,OSV,SVO,Eunice,Miguel,SOSVO,SVO,0,Mitchell,V position
601,26,Free,5,Spatial_Clipped_145,Boy kicks ball,VOV,SVO,Eunice,Miguel,SVO,SVO,0,Mitchell,V position
602,26,Free,6,Spatial_Clipped_145,Girl pushes car,SV,SOV,Eunice,Miguel,SOV,SOV,0,Mitchell,Missing Letter
620,26,Free,24,Spatial_Clipped_149,Boy pokes heart,OV,SOV,Eunice,Miguel,SOV,SOV,0,Mitchell,Missing Letter
628,27,Case,8,Spatial_Clipped_163,Fireman lifts car,SOV,VOV,Eunice,Miguel,VOV,VOV,0,Melissa,V position
633,27,Case,13,Spatial_Clipped_165,Girl throws old lady,SVO,VOV,Eunice,Miguel,V,V,0,Melissa,V position
634,27,Case,14,Spatial_Clipped_165,Old lady rubs fireman,SVO,OSV,Eunice,Miguel,OSV,OSV,0,Melissa,V position
644,27,Case,24,Spatial_Clipped_167,Old lady elbows ball,OVO,SVO,Eunice,Miguel,VOV,VOV,0,Melissa,V position
657,27,Free,13,Spatial_Clipped_159,Girl throws old lady,SV,SVO,Eunice,Miguel,SVO,SVO,0,Melissa,Missing Letter
658,27,Free,14,Spatial_Clipped_159,Old lady rubs fireman,SV,OSV,Eunice,Miguel,OSV,OSV,0,Melissa,Missing Letter
664,27,Free,20,Spatial_Clipped_160,Fireman throws star,SOV,SVO,Eunice,Miguel,VOV,VOV,0,Melissa,V position
665,27,Free,21,Spatial_Clipped_161,Boy lifts girl,SVO,VO,Eunice,Miguel,VO,VO,0,Melissa,Missing Letter
672,27,Free,28,Spatial_Clipped_162,Boy kicks ball,SV,V,Eunice,Miguel,V,V,0,Melissa,Missing Letter
673,29,Case,5,Spatial_Clipped_187,Girl kisses boy,OSV,SOV,Eunice,Miguel,SOV,SOV,0,Mitchell,SO Confusion
675,29,Case,7,Spatial_Clipped_187,Old lady pokes fireman,OSV,SOV,Eunice,Miguel,SOV,SOV,0,Mitchell,SO Confusion
676,29,Case,8,Spatial_Clipped_187,Fireman lifts car,VOV,SVO,Eunice,Miguel,SV(OV),SV(OV),0,Mitchell,V position
677,29,Case,9,Spatial_Clipped_188,Boy pokes heart,OSV,SOV,Eunice,Miguel,SOSOV,SOV,0,Mitchell,SO Confusion
690,29,Case,22,Spatial_Clipped_191,Girl rubs heart,VOV,SOV,Eunice,Miguel,SOV,SOV,0,Mitchell,V position
717,29,Free,25,Spatial_Clipped_186,Fireman pushes boy,SV,SVO,Eunice,Miguel,SVO,SVO,0,Mitchell,Missing Letter
725,30,Case,9,Spatial_Clipped_200,Old lady elbows ball,SOV,VOV,Eunice,Miguel,SOVOV,VOV,1,Mitchell,V position
727,30,Case,11,Spatial_Clipped_200,Girl rubs heart,VVO,SVO,Eunice,Miguel,SOVSVO,SVO,1,Mitchell,V position
728,30,Case,12,Spatial_Clipped_200,Boy lifts girl,SOV,SVO,Eunice,Miguel,SOSV,OSV,0,Mitchell,V position
734,30,Case,18,Spatial_Clipped_202,Old lady kisses star,SOV,SVO,Eunice,Miguel,SOSVO,SVO,0,Mitchell,V position
735,30,Case,19,Spatial_Clipped_202,Old lady rubs fireman,SO,SVO,Eunice,Miguel,SOVOSVO,SVO,1,Mitchell,Missing Letter
736,30,Case,20,Spatial_Clipped_202,Girl throws old lady,VOV,SVO,Eunice,Miguel,SOSVOV,VOV,1,Mitchell,V position
740,30,Case,24,Spatial_Clipped_203,Boy pokes heart,VVO,SVO,Eunice,Miguel,OSVO,SVO,0,Mitchell,V position
741,30,Case,25,Spatial_Clipped_204,Fireman lifts car,SOV,SVO,Eunice,Miguel,OSOV,SOV,0,Mitchell,V position
742,30,Case,26,Spatial_Clipped_204,Old lady pokes fireman,VSV,VOV,Eunice,Miguel,SOSVOVSV,VSV,1,Mitchell,SO Confusion
745,30,Free,5,Spatial_Clipped_193,Boy kicks ball,OV,SOV,Eunice,Miguel,OV,OV,0,Mitchell,Missing Letter
746,30,Free,6,Spatial_Clipped_193,Girl pushes car,OVS,OSV,Eunice,Miguel,OVS,OVS,0,Mitchell,V position
748,30,Free,8,Spatial_Clipped_193,Fireman pushes boy,VO,OSV,Eunice,Miguel,VOSOV,SOV,0,Mitchell,V position
749,30,Free,9,Spatial_Clipped_194,Old lady elbows ball,OVO,SVO,Eunice,Miguel,SVOV,VOV,1,Mitchell,SO Confusion
751,30,Free,11,Spatial_Clipped_194,Girl rubs heart,VOV,SOV,Eunice,Miguel,SOVOV,VOV,1,Mitchell,V position
753,30,Free,13,Spatial_Clipped_195,Fireman throws star,SOV,SVO,Eunice,Miguel,SOV,SOV,0,Mitchell,V position
757,30,Free,17,Spatial_Clipped_196,Fireman kicks girl,SVO,SOV,Eunice,Miguel,SVO,SVO,0,Mitchell,V position
759,30,Free,19,Spatial_Clipped_196,Old lady rubs fireman,SVO,SOV,Eunice,Miguel,SVOV,VOV,1,Mitchell,V position
765,30,Free,25,Spatial_Clipped_198,Fireman lifts car,SOV,OSV,Eunice,Miguel,OSVOV,VOV,1,Mitchell,SO Confusion
768,30,Free,28,Spatial_Clipped_198,Girl kisses boy,SVO,VOV,Eunice,Miguel,SVO,SVO,0,Mitchell,V position
841,32,Free,5,Spatial_Clipped_217,Girl kisses boy,OV,SV,Eunice,Miguel,SV,SV,0,,SO Confusion
873,33,Case,13,Spatial_Clipped_237,Girl throws old lady,SOV,VOV,Caitlin,Miguel,SOSOVSVOV,VOV,1,Mitchell,V position
875,33,Case,15,Spatial_Clipped_237,Old lady kisses star,SOV,OVV,Caitlin,Miguel,SOV,SOV,0,Mitchell,V position
892,33,Free,8,Spatial_Clipped_229,Fireman lifts car,OSV,SOV,Caitlin,Miguel,SOSV,OSV,0,Mitchell,SO Confusion
893,33,Free,9,Spatial_Clipped_230,Boy pokes heart,OSV,SOV,Caitlin,Miguel,SOSV,OSV,0,Mitchell,SO Confusion
898,33,Free,14,Spatial_Clipped_231,Old lady rubs fireman,SOV,OSV,Caitlin,Miguel,SOSV,OSV,0,Mitchell,SO Confusion
902,33,Free,18,Spatial_Clipped_232,Girl elbows old lady,SOV,OSV,Caitlin,Miguel,SOSV,OSV,0,Mitchell,SO Confusion
904,33,Free,20,Spatial_Clipped_232,Fireman throws star,OSV,SOV,Caitlin,Miguel,SOSV,OSV,0,Mitchell,SO Confusion
905,33,Free,21,Spatial_Clipped_233,Boy lifts girl,SOV,OSV,Caitlin,Miguel,SOSV,OSV,0,Mitchell,SO Confusion
938,34,Free,6,Spatial_Clipped_241,Girl pushes car,VO,SVO,Eunice,Miguel,SVO,SVO,0,Mitchell,Missing Letter
956,34,Free,24,Spatial_Clipped_245,Boy pokes heart,SVO,SO,Eunice,Miguel,SO,SO,0,Mitchell,Missing Letter
960,34,Free,28,Spatial_Clipped_246,Girl kisses boy,OSV,SV,Eunice,Miguel,OSV,OSV,0,Mitchell,Missing Letter
971,36,Case,15,Spatial_Clipped_261,Girl elbows old lady,OSV,SOV,Eunice,Miguel,OSV,OSV,0,Mitchell,SO Confusion
989,36,Free,9,Spatial_Clipped_254,Old lady elbows ball,SVO,SOV,Eunice,Miguel,SOV,SOV,0,Mitchell,V position
1012,37,Case,8,Spatial_Clipped_271,Fireman lifts car,SOV,OV,Eunice,Miguel,OV,OV,0,Mitchell,Missing Letter
1022,37,Case,18,Spatial_Clipped_274,Girl elbows old lady,,SOV,Eunice,Miguel,OVSV,VSV,1,Mitchell,Not Coded
1028,37,Case,24,Spatial_Clipped_275,Old lady elbows ball,SVO,SOV,Eunice,Miguel,SVO,SVO,0,Mitchell,V position
1029,37,Case,25,Spatial_Clipped_276,Fireman pushes boy,SVO,VOV,Eunice,Miguel,SVOV,VOV,1,Mitchell,V position
1033,37,Free,5,Spatial_Clipped_265,Girl kisses boy,OV,SV,Eunice,Miguel,SV,SV,0,Mitchell,SO Confusion
1105,46,Case,5,Spatial_Clipped_307,Boy kicks ball,O,OV,Miguel,Caitlin,OV,OV,0,Mitchell,Missing Letter
1117,46,Case,17,Spatial_Clipped_310,Fireman kicks girl,VO,SVO,Miguel,Caitlin,V,V,0,Mitchell,Missing Letter
1124,46,Case,24,Spatial_Clipped_311,Boy pokes heart,V,SV,Miguel,Caitlin,V,V,0,Mitchell,Missing Letter
1132,46,Free,8,Spatial_Clipped_301,Fireman pushes boy,SVO,SV,Miguel,Caitlin,SV,SV,0,Mitchell,Missing Letter
1148,46,Free,24,Spatial_Clipped_305,Boy pokes heart,SVO,OVO,Miguel,Caitlin,SVO,SVO,0,Mitchell,SO Confusion
1153,47,Case,5,Spatial_Clipped_319,Girl kisses boy,OSV,SOV,Miguel,Mitchell,OSV,OSV,0,Melissa,SO Confusion
1161,47,Case,13,Spatial_Clipped_321,Girl throws old lady,SOV,V,Miguel,Mitchell,VOV,VOV,0,Melissa,Missing Letter
1162,47,Case,14,Spatial_Clipped_321,Old lady rubs fireman,OSV,SOV,Miguel,Mitchell,SVO,SVO,0,Melissa,SO Confusion
1164,47,Case,16,Spatial_Clipped_321,Fireman kicks girl,SVO,SOV,Miguel,Mitchell,SVO,SVO,0,Melissa,V position
1168,47,Case,20,Spatial_Clipped_322,Fireman throws star,OSV,SOV,Miguel,Mitchell,OSV,OSV,0,Melissa,SO Confusion
1170,47,Case,22,Spatial_Clipped_323,Girl rubs heart,OSV,S(OV),Miguel,Mitchell,SOV,SOV,0,Melissa,SO Confusion
1172,47,Case,24,Spatial_Clipped_323,Old lady elbows ball,SOV,OSV,Miguel,Mitchell,OSV,OSV,0,Melissa,SO Confusion
1176,47,Case,28,Spatial_Clipped_324,Boy kicks ball,SVO,OSV,Miguel,Mitchell,SOV,SOV,0,Melissa,V position
1177,47,Free,5,Spatial_Clipped_313,Girl kisses boy,V,SV,Miguel,Mitchell,SOV,SOV,0,Melissa,Missing Letter
1179,47,Free,7,Spatial_Clipped_313,Old lady pokes fireman,V,(SV),Miguel,Mitchell,VO,VO,0,Melissa,Missing Letter
1180,47,Free,8,Spatial_Clipped_313,Fireman lifts car,V,(SV),Miguel,Mitchell,V,V,0,Melissa,Missing Letter
1185,47,Free,13,Spatial_Clipped_315,Girl throws old lady,SOV,VOV,Miguel,Mitchell,SOV,SOV,0,Melissa,V position
1187,47,Free,15,Spatial_Clipped_315,Old lady kisses star,SOV,OSV,Miguel,Mitchell,OSV,OSV,0,Melissa,SO Confusion
1197,47,Free,25,Spatial_Clipped_318,Fireman pushes boy,OVO,SVO,Miguel,Mitchell,SVO,SVO,0,Melissa,SO Confusion
1200,47,Free,28,Spatial_Clipped_318,Boy kicks ball,SOV,OSV,Miguel,Mitchell,OSV,OSV,0,Melissa,SO Confusion
1204,48,Case,8,Spatial_Clipped_331,Fireman pushes boy,(SOV),)(SOV),Miguel,Mitchell,S(OV),S(OV),0,Cristina,Parentheses
1215,48,Case,19,Spatial_Clipped_334,Old lady rubs fireman,OV,(OV),Miguel,Mitchell,(OV),(OV),0,Cristina,Parentheses
1297,50,Case,5,Spatial_Clipped_355,Boy kicks ball,OSV,(SOV),Miguel,Mitchell,OSV,OSV,0,Cristina,Parentheses
1298,50,Case,6,Spatial_Clipped_355,Girl pushes car,SOV,(SOV),Miguel,Mitchell,SOV,SOV,0,Cristina,Parentheses
1300,50,Case,8,Spatial_Clipped_355,Fireman pushes boy,(SO)V,(SOV),Miguel,Mitchell,SOV,SOV,0,Cristina,Parentheses
1301,50,Case,9,Spatial_Clipped_356,Old lady elbows ball,OSV,(SOV),Miguel,Mitchell,OSV,OSV,0,Cristina,Parentheses
1303,50,Case,11,Spatial_Clipped_356,Girl rubs heart,OSV,(SOV),Miguel,Mitchell,OSV,OSV,0,Cristina,Parentheses
1304,50,Case,12,Spatial_Clipped_356,Boy lifts girl,(SO)V,(SOV),Miguel,Mitchell,SOV,SOV,0,Cristina,Parentheses
1305,50,Case,13,Spatial_Clipped_357,Fireman throws star,OSV,OV,Miguel,Mitchell,OSV,OSV,0,Cristina,Missing Letter
1307,50,Case,15,Spatial_Clipped_357,Girl elbows old lady,OSV,(SOV),Miguel,Mitchell,OSV,OSV,0,Cristina,Parentheses
1309,50,Case,17,Spatial_Clipped_358,Fireman kicks girl,(SO)V,(SOV),Miguel,Mitchell,SOV,SOV,0,Cristina,Parentheses
1310,50,Case,18,Spatial_Clipped_358,Old lady kisses star,OSV,OV,Miguel,Mitchell,SOV,SOV,0,Cristina,Missing Letter
1311,50,Case,19,Spatial_Clipped_358,Old lady rubs fireman,SOV,(SOV),Miguel,Mitchell,OSV,OSV,0,Cristina,Parentheses
1312,50,Case,20,Spatial_Clipped_358,Girl throws old lady,(SO)V,(SOV),Miguel,Mitchell,OSV,OSV,0,Cristina,Parentheses
1316,50,Case,24,Spatial_Clipped_359,Boy pokes heart,OSV,(SOV),Miguel,Mitchell,SOV,SOV,0,Cristina,Parentheses
1317,50,Case,25,Spatial_Clipped_360,Fireman lifts car,SOV,(SOV),Miguel,Mitchell,SOV,SOV,0,Cristina,Parentheses
1318,50,Case,26,Spatial_Clipped_360,Old lady pokes fireman,(SO)V,(SOV),Miguel,Mitchell,OSV,OSV,0,Cristina,Parentheses
1320,50,Case,28,Spatial_Clipped_360,Girl kisses boy,(SO)V,(SOV),Miguel,Mitchell,(SO)V,(SO)V,0,Cristina,Parentheses
1321,50,Free,5,Spatial_Clipped_349,Boy kicks ball,OV,SOV,Miguel,Mitchell,OV,OV,0,Cristina,Missing Letter
1324,50,Free,8,Spatial_Clipped_349,Fireman pushes boy,V,SV,Miguel,Mitchell,SV,SV,0,Cristina,Missing Letter
1333,50,Free,17,Spatial_Clipped_352,Fireman kicks girl,SVO,(SOV),Miguel,Mitchell,SVO,SVO,0,Cristina,Parentheses
1334,50,Free,18,Spatial_Clipped_352,Old lady kisses star,OV,(SOV),Miguel,Mitchell,OV,OV,0,Cristina,Missing Letter
1344,50,Free,28,Spatial_Clipped_354,Girl kisses boy,(SO)V,(SOV),Miguel,Mitchell,(SO)V,(SO)V,0,Cristina,Parentheses
1345,52,Case,5,Spatial_Clipped_367,Boy kicks ball,SOV,OSV,Miguel,Caitlin,OSSOV,SOV,0,Cristina,SO Confusion
1346,52,Case,6,Spatial_Clipped_367,Girl pushes car,SVO,SOV,Miguel,Caitlin,SOSV,OSV,0,Cristina,V position
1353,52,Case,13,Spatial_Clipped_369,Fireman throws star,OSV,SOV,Miguel,Caitlin,SOV,SOV,0,Cristina,SO Confusion
1360,52,Case,20,Spatial_Clipped_370,Girl throws old lady,SVO,SOV,Miguel,Caitlin,SOSOV,SOV,0,Cristina,V position
1364,52,Case,24,Spatial_Clipped_371,Boy pokes heart,SOV,OSV,Miguel,Caitlin,OSSOV,SOV,0,Cristina,SO Confusion
1368,52,Case,28,Spatial_Clipped_372,Girl kisses boy,SOV,OSV,Miguel,Caitlin,OSOSV,OSV,0,Cristina,SO Confusion
1370,52,Free,6,Spatial_Clipped_361,Girl pushes car,SVO,OSV,Miguel,Caitlin,OSV,OSV,0,Cristina,V position
1372,52,Free,8,Spatial_Clipped_361,Fireman pushes boy,SVO,SOV,Miguel,Caitlin,SOSVO,SVO,0,Cristina,V position
1383,52,Free,19,Spatial_Clipped_364,Old lady rubs fireman,OSV,SOV,Miguel,Caitlin,OSV,OSV,0,Cristina,SO Confusion
1420,53,Free,8,Spatial_Clipped_373,Fireman lifts car,SVO,VOV,Miguel,Mitchell,SO,SO,0,Cristina,V position
1437,53,Free,25,Spatial_Clipped_378,Fireman pushes boy,SOV,SVO,Miguel,Mitchell,SVO,SVO,0,Cristina,V position
1440,53,Free,28,Spatial_Clipped_378,Boy kicks ball,SOV,O(OV),Miguel,Mitchell,SOV,SOV,0,Cristina,Missing Letter
1537,58,Case,5,Spatial_Clipped_415,Boy kicks ball,SOV,S(VO),Miguel,Cristina,S(VO),S(VO),0,Mitchell,Parentheses
1541,58,Case,9,Spatial_Clipped_416,Old lady elbows ball,SV,SOV,Miguel,Cristina,SOV,SOV,0,Mitchell,Missing Letter
1591,60,Case,11,Spatial_Clipped_428,Girl rubs heart,O(SV),OSV,Miguel,Caitlin,O(SV),O(SV),0,Mitchell,Parentheses
1592,60,Case,12,Spatial_Clipped_428,Boy lifts girl,(SO)V,S(OV),Miguel,Caitlin,(SO)V,(SO)V,0,Mitchell,Parentheses
1595,60,Case,15,Spatial_Clipped_429,Girl elbows old lady,(SO)V,OSV,Miguel,Caitlin,(SO)V,(SO)V,0,Mitchell,Parentheses
1599,60,Case,19,Spatial_Clipped_430,Old lady rubs fireman,(SO)V,SOV,Miguel,Caitlin,(SO)V,(SO)V,0,Mitchell,Parentheses
1600,60,Case,20,Spatial_Clipped_430,Girl throws old lady,(SO)V,SOV,Miguel,Caitlin,(SO)V,(SO)V,0,Mitchell,Parentheses
1608,60,Case,28,Spatial_Clipped_432,Girl kisses boy,SOV,OSV,Miguel,Caitlin,OSV,OSV,0,Mitchell,Parentheses
1613,60,Free,9,Spatial_Clipped_422,Old lady elbows ball,SV,OV,Miguel,Caitlin,OV,OV,0,Mitchell,SO Confusion
1616,60,Free,12,Spatial_Clipped_422,Boy lifts girl,(SO)V,OSV,Miguel,Caitlin,(SO)V,(SO)V,0,Mitchell,Parentheses
1629,60,Free,25,Spatial_Clipped_426,Fireman lifts car,SOV,OSV,Miguel,Caitlin,SOV,SOV,0,Mitchell,SO Confusion
1630,60,Free,26,Spatial_Clipped_426,Old lady pokes fireman,SV,OSV,Miguel,Caitlin,SV,SV,0,Mitchell,Missing Letter
1636,61,Case,8,Spatial_Clipped_439,Fireman lifts car,OSV,(SO)V,Miguel,Caitlin,OSV,OSV,0,Mitchell,Parentheses
1641,61,Case,13,Spatial_Clipped_441,Girl throws old lady,(SO)V,SOV,Miguel,Caitlin,(SO)V,(SO)V,0,Mitchell,Parentheses
1642,61,Case,14,Spatial_Clipped_441,Old lady rubs fireman,OSV,SOV,Miguel,Caitlin,OSV,OSV,0,Mitchell,SO Confusion
1648,61,Case,20,Spatial_Clipped_442,Fireman throws star,SOV,OSV,Miguel,Caitlin,SOV,SOV,0,Mitchell,SO Confusion
1650,61,Case,22,Spatial_Clipped_443,Girl rubs heart,OSV,SOV,Miguel,Caitlin,OSV,OSV,0,Mitchell,SO Confusion
1655,61,Case,27,Spatial_Clipped_444,Girl pushes car,OSV,SOV,Miguel,Caitlin,OSV,OSV,0,Mitchell,SO Confusion
1660,61,Free,8,Spatial_Clipped_433,Fireman lifts car,(SO)V,SOV,Miguel,Caitlin,(SO)V,(SO)V,0,Mitchell,Parentheses
1668,61,Free,16,Spatial_Clipped_435,Fireman kicks girl,SOV,(SO)V,Miguel,Caitlin,(SO)V,(SO)V,0,Mitchell,Parentheses
1673,61,Free,21,Spatial_Clipped_437,Boy lifts girl,(SO)V,SOV,Miguel,Caitlin,(SO)V,(SO)V,0,Mitchell,Parentheses
1682,62,Case,6,Spatial_Clipped_451 ,Girl pushes car ,OSV,SOV,Miguel,Caitlin,SOSV,OSV,0,Mitchell,SO Confusion
1684,62,Case,8,Spatial_Clipped_451 ,Fireman pushes boy ,OSV,SOV,Miguel,Caitlin,SOSV,OSV,0,Mitchell,SO Confusion
1693,62,Case,17,Spatial_Clipped_454 ,Fireman kicks girl ,OSV,SOV,Miguel,Caitlin,SOV,SOV,0,Mitchell,SO Confusion
1696,62,Case,20,Spatial_Clipped_454 ,Girl throws old lady ,OSV,SOV,Miguel,Caitlin,SOV,SOV,0,Mitchell,SO Confusion
1700,62,Case,24,Spatial_Clipped_455 ,Boy pokes heart ,OVO,SOV,Miguel,Caitlin,SOVO,OVO,0,Mitchell,V position
1704,62,Case,28,Spatial_Clipped_456 ,Girl kisses boy ,OSV,SOV,Miguel,Caitlin,SOV,SOV,0,Mitchell,SO Confusion
1708,62,Free,8,Spatial_Clipped_445 ,Fireman pushes boy ,SVO,SOV,Miguel,Caitlin,SOSV,OSV,0,Mitchell,V position
