,Subject,GestureCondition,Spatial.Cue,Spatial.Cue.Recode,Trial.Number,Clipped.Movie.File,Event,Initial.Coder,Blind.Coder,Final.Decision,Discussed.With
144,3,Free,1,0,28,Spatial_Clipped_054,Girl kisses boy,Eunice,Miguel,1,Mitchell
178,4,Free,1,0,14,Spatial_Clipped_063,Old lady rubs fireman,Eunice,Miguel,1,Mitchell
179,4,Free,1,0,15,Spatial_Clipped_063,Old lady kisses star,Eunice,Miguel,1,Mitchell
186,4,Free,1,0,22,Spatial_Clipped_065,Girl rubs heart,Eunice,Miguel,0,Mitchell
193,5,Case,1,0,5,Spatial_Clipped_079,Boy kicks ball,Eunice,Miguel,1,Mitchell
194,5,Case,0,1,6,Spatial_Clipped_079,Girl pushes car,Eunice,Miguel,1,Mitchell
196,5,Case,0,1,8,Spatial_Clipped_079,Fireman pushes boy,Eunice,Miguel,1,Mitchell
197,5,Case,0,1,9,Spatial_Clipped_080,Old lady elbows ball,Eunice,Miguel,1,Mitchell
199,5,Case,0,1,11,Spatial_Clipped_080,Girl rubs heart,Eunice,Miguel,1,Mitchell
200,5,Case,0,1,12,Spatial_Clipped_080,Boy lifts girl,Eunice,Miguel,1,Mitchell
201,5,Case,0,1,13,Spatial_Clipped_081,Fireman throws star,Eunice,Miguel,1,Mitchell
203,5,Case,0,1,15,Spatial_Clipped_081,Girl elbows old lady,Eunice,Miguel,1,Mitchell
205,5,Case,0,1,17,Spatial_Clipped_082,Fireman kicks girl,Eunice,Miguel,1,Mitchell
206,5,Case,0,1,18,Spatial_Clipped_082,Old lady kisses star,Eunice,Miguel,1,Mitchell
207,5,Case,0,1,19,Spatial_Clipped_082,Old lady rubs fireman,Eunice,Miguel,1,Mitchell
208,5,Case,0,1,20,Spatial_Clipped_082,Girl throws old lady,Eunice,Miguel,1,Mitchell
212,5,Case,0,1,24,Spatial_Clipped_083,Boy pokes heart,Eunice,Miguel,1,Mitchell
213,5,Case,0,1,25,Spatial_Clipped_084,Fireman lifts car,Eunice,Miguel,1,Mitchell
214,5,Case,0,1,26,Spatial_Clipped_084,Old lady pokes fireman,Eunice,Miguel,1,Mitchell
216,5,Case,0,1,28,Spatial_Clipped_084,Girl kisses boy,Eunice,Miguel,1,Mitchell
217,5,Free,1,0,5,Spatial_Clipped_073,Boy kicks ball,Eunice,Miguel,1,Mitchell
242,6,Case,0,1,6,Spatial_Clipped_091,Girl pushes car,Eunice,Miguel,1,Mitchell
245,6,Case,0,1,9,Spatial_Clipped_092,Old lady elbows ball,Eunice,Miguel,1,Mitchell
391,21,Case,1,0,11,Spatial_Clipped_008,Girl rubs heart,Caitlin,Miguel,1,Mitchell
395,21,Case,1,0,15,Spatial_Clipped_009,Girl elbows old lady,Caitlin,Miguel,0,Mitchell
398,21,Case,1,0,18,Spatial_Clipped_010,Old lady kisses star,Caitlin,Miguel,1,Mitchell
399,21,Case,1,0,19,Spatial_Clipped_010,Old lady rubs fireman,Caitlin,Miguel,0,Mitchell
406,21,Case,1,0,26,Spatial_Clipped_012,Old lady pokes fireman,Caitlin,Miguel,1,Mitchell
408,21,Case,1,0,28,Spatial_Clipped_012,Girl kisses boy,Caitlin,Miguel,1,Mitchell
433,22,Case,0,1,5,Spatial_Clipped_019,Boy kicks ball,Eunice,Miguel,1,Mitchell
434,22,Case,0,1,6,Spatial_Clipped_019,Girl pushes car,Eunice,Miguel,1,Mitchell
436,22,Case,0,1,8,Spatial_Clipped_019,Fireman pushes boy,Eunice,Miguel,1,Mitchell
440,22,Case,0,1,12,Spatial_Clipped_020,Boy lifts girl,Eunice,Miguel,1,Mitchell
443,22,Case,0,1,15,Spatial_Clipped_021,Girl elbows old lady,Eunice,Miguel,1,Mitchell
445,22,Case,0,1,17,Spatial_Clipped_022,Fireman kicks girl,Eunice,Miguel,1,Mitchell
447,22,Case,0,1,19,Spatial_Clipped_022,Old lady rubs fireman,Eunice,Miguel,1,Mitchell
448,22,Case,0,1,20,Spatial_Clipped_022,Girl throws old lady,Eunice,Miguel,1,Mitchell
454,22,Case,0,1,26,Spatial_Clipped_024,Old lady pokes fireman,Eunice,Miguel,1,Mitchell
456,22,Case,0,1,28,Spatial_Clipped_024,Girl kisses boy,Eunice,Miguel,1,Mitchell
529,25,Case,0,1,5,Spatial_Clipped_139,Girl kisses boy,Eunice,Miguel,1,Mitchell
531,25,Case,0,1,7,Spatial_Clipped_139,Old lady pokes fireman,Eunice,Miguel,1,Mitchell
532,25,Case,0,1,8,Spatial_Clipped_139,Fireman lifts car,Eunice,Miguel,1,Mitchell
533,25,Case,0,1,9,Spatial_Clipped_140,Boy pokes heart,Eunice,Miguel,1,Mitchell
537,25,Case,0,1,13,Spatial_Clipped_141,Girl throws old lady,Eunice,Miguel,1,Mitchell
538,25,Case,0,1,14,Spatial_Clipped_141,Old lady rubs fireman,Eunice,Miguel,1,Mitchell
539,25,Case,0,1,15,Spatial_Clipped_141,Old lady kisses star,Eunice,Miguel,1,Mitchell
540,25,Case,0,1,16,Spatial_Clipped_141,Fireman kicks girl,Eunice,Miguel,1,Mitchell
542,25,Case,0,1,18,Spatial_Clipped_142,Girl elbows old lady,Eunice,Miguel,1,Mitchell
544,25,Case,0,1,20,Spatial_Clipped_142,Fireman throws star,Eunice,Miguel,1,Mitchell
546,25,Case,0,1,22,Spatial_Clipped_143,Girl rubs heart,Eunice,Miguel,1,Mitchell
548,25,Case,0,1,24,Spatial_Clipped_143,Old lady elbows ball,Eunice,Miguel,1,Mitchell
549,25,Case,0,1,25,Spatial_Clipped_144,Fireman pushes boy,Eunice,Miguel,1,Mitchell
551,25,Case,0,1,27,Spatial_Clipped_144,Girl pushes car,Eunice,Miguel,1,Mitchell
552,25,Case,0,1,28,Spatial_Clipped_144,Boy kicks ball,Eunice,Miguel,1,Mitchell
564,25,Free,0,1,16,Spatial_Clipped_135,Fireman kicks girl,Eunice,Miguel,1,Mitchell
576,25,Free,0,1,28,Spatial_Clipped_138,Boy kicks ball,Eunice,Miguel,1,Mitchell
577,26,Case,0,1,5,Spatial_Clipped_151,Boy kicks ball,Eunice,Miguel,1,Mitchell
581,26,Case,0,1,9,Spatial_Clipped_152,Old lady elbows ball,Eunice,Miguel,1,Mitchell
583,26,Case,0,1,11,Spatial_Clipped_152,Girl rubs heart,Eunice,Miguel,1,Mitchell
587,26,Case,0,1,15,Spatial_Clipped_153,Girl elbows old lady,Eunice,Miguel,1,Mitchell
590,26,Case,0,1,18,Spatial_Clipped_154,Old lady kisses star,Eunice,Miguel,1,Mitchell
591,26,Case,0,1,19,Spatial_Clipped_154,Old lady rubs fireman,Eunice,Miguel,1,Mitchell
596,26,Case,0,1,24,Spatial_Clipped_155,Boy pokes heart,Eunice,Miguel,1,Mitchell
597,26,Case,0,1,25,Spatial_Clipped_156,Fireman lifts car,Eunice,Miguel,1,Mitchell
600,26,Case,0,1,28,Spatial_Clipped_156,Girl kisses boy,Eunice,Miguel,1,Mitchell
605,26,Free,0,1,9,Spatial_Clipped_146,Old lady elbows ball,Eunice,Miguel,1,Mitchell
620,26,Free,0,1,24,Spatial_Clipped_149,Boy pokes heart,Eunice,Miguel,1,Mitchell
625,27,Case,0,1,5,Spatial_Clipped_163,Girl kisses boy,Eunice,Miguel,1,Mitchell
627,27,Case,0,1,7,Spatial_Clipped_163,Old lady pokes fireman,Eunice,Miguel,1,Mitchell
636,27,Case,0,1,16,Spatial_Clipped_165,Fireman kicks girl,Eunice,Miguel,1,Mitchell
638,27,Case,0,1,18,Spatial_Clipped_166,Girl elbows old lady,Eunice,Miguel,1,Mitchell
645,27,Case,0,1,25,Spatial_Clipped_168,Fireman pushes boy,Eunice,Miguel,1,Mitchell
648,27,Case,0,1,28,Spatial_Clipped_168,Boy kicks ball,Eunice,Miguel,1,Mitchell
658,27,Free,0,1,14,Spatial_Clipped_159,Old lady rubs fireman,Eunice,Miguel,0,Mitchell
673,29,Case,0,1,5,Spatial_Clipped_187,Girl kisses boy,Eunice,Miguel,1,Mitchell
675,29,Case,0,1,7,Spatial_Clipped_187,Old lady pokes fireman,Eunice,Miguel,1,Mitchell
676,29,Case,0,1,8,Spatial_Clipped_187,Fireman lifts car,Eunice,Miguel,1,Mitchell
677,29,Case,0,1,9,Spatial_Clipped_188,Boy pokes heart,Eunice,Miguel,1,Mitchell
681,29,Case,0,1,13,Spatial_Clipped_189,Girl throws old lady,Eunice,Miguel,1,Mitchell
682,29,Case,0,1,14,Spatial_Clipped_189,Old lady rubs fireman,Eunice,Miguel,1,Mitchell
683,29,Case,0,1,15,Spatial_Clipped_189,Old lady kisses star,Eunice,Miguel,1,Mitchell
684,29,Case,0,1,16,Spatial_Clipped_189,Fireman kicks girl,Eunice,Miguel,1,Mitchell
686,29,Case,0,1,18,Spatial_Clipped_190,Girl elbows old lady,Eunice,Miguel,1,Mitchell
688,29,Case,0,1,20,Spatial_Clipped_190,Fireman throws star,Eunice,Miguel,1,Mitchell
689,29,Case,0,1,21,Spatial_Clipped_191,Boy lifts girl,Eunice,Miguel,1,Mitchell
690,29,Case,0,1,22,Spatial_Clipped_191,Girl rubs heart,Eunice,Miguel,1,Mitchell
692,29,Case,0,1,24,Spatial_Clipped_191,Old lady elbows ball,Eunice,Miguel,1,Mitchell
693,29,Case,0,1,25,Spatial_Clipped_192,Fireman pushes boy,Eunice,Miguel,1,Mitchell
695,29,Case,0,1,27,Spatial_Clipped_192,Girl pushes car,Eunice,Miguel,1,Mitchell
696,29,Case,0,1,28,Spatial_Clipped_192,Boy kicks ball,Eunice,Miguel,1,Mitchell
725,30,Case,0,1,9,Spatial_Clipped_200,Old lady elbows ball,Eunice,Miguel,1,Mitchell
727,30,Case,0,1,11,Spatial_Clipped_200,Girl rubs heart,Eunice,Miguel,1,Mitchell
728,30,Case,0,1,12,Spatial_Clipped_200,Boy lifts girl,Eunice,Miguel,1,Mitchell
733,30,Case,0,1,17,Spatial_Clipped_202,Fireman kicks girl,Eunice,Miguel,1,Mitchell
734,30,Case,0,1,18,Spatial_Clipped_202,Old lady kisses star,Eunice,Miguel,1,Mitchell
735,30,Case,0,1,19,Spatial_Clipped_202,Old lady rubs fireman,Eunice,Miguel,1,Mitchell
736,30,Case,0,1,20,Spatial_Clipped_202,Girl throws old lady,Eunice,Miguel,1,Mitchell
740,30,Case,0,1,24,Spatial_Clipped_203,Boy pokes heart,Eunice,Miguel,1,Mitchell
741,30,Case,0,1,25,Spatial_Clipped_204,Fireman lifts car,Eunice,Miguel,1,Mitchell
744,30,Case,0,1,28,Spatial_Clipped_204,Girl kisses boy,Eunice,Miguel,1,Mitchell
745,30,Free,0,1,5,Spatial_Clipped_193,Boy kicks ball,Eunice,Miguel,0,Mitchell
746,30,Free,0,1,6,Spatial_Clipped_193,Girl pushes car,Eunice,Miguel,1,Mitchell
748,30,Free,0,1,8,Spatial_Clipped_193,Fireman pushes boy,Eunice,Miguel,1,Mitchell
752,30,Free,0,1,12,Spatial_Clipped_194,Boy lifts girl,Eunice,Miguel,0,Mitchell
753,30,Free,0,1,13,Spatial_Clipped_195,Fireman throws star,Eunice,Miguel,0,Mitchell
755,30,Free,0,1,15,Spatial_Clipped_195,Girl elbows old lady,Eunice,Miguel,0,Mitchell
757,30,Free,0,1,17,Spatial_Clipped_196,Fireman kicks girl,Eunice,Miguel,0,Mitchell
758,30,Free,0,1,18,Spatial_Clipped_196,Old lady kisses star,Eunice,Miguel,0,Mitchell
759,30,Free,0,1,19,Spatial_Clipped_196,Old lady rubs fireman,Eunice,Miguel,0,Mitchell
760,30,Free,0,1,20,Spatial_Clipped_196,Girl throws old lady,Eunice,Miguel,0,Mitchell
764,30,Free,0,1,24,Spatial_Clipped_197,Boy pokes heart,Eunice,Miguel,0,Mitchell
765,30,Free,0,1,25,Spatial_Clipped_198,Fireman lifts car,Eunice,Miguel,0,Mitchell
766,30,Free,0,1,26,Spatial_Clipped_198,Old lady pokes fireman,Eunice,Miguel,0,Mitchell
768,30,Free,0,1,28,Spatial_Clipped_198,Girl kisses boy,Eunice,Miguel,0,Mitchell
793,31,Free,1,0,5,Spatial_Clipped_205,Boy kicks ball,Eunice,Miguel,0,Mitchell
794,31,Free,1,0,6,Spatial_Clipped_205,Girl pushes car,Eunice,Miguel,0,Mitchell
796,31,Free,1,0,8,Spatial_Clipped_205,Fireman pushes boy,Eunice,Miguel,0,Mitchell
799,31,Free,1,0,11,Spatial_Clipped_206,Girl rubs heart,Eunice,Miguel,0,Mitchell
820,32,Case,1,0,8,Spatial_Clipped_223,Fireman lifts car,Eunice,Miguel,1,Mitchell
836,32,Case,1,0,24,Spatial_Clipped_227,Old lady elbows ball,Eunice,Miguel,1,Mitchell
841,32,Free,1,0,5,Spatial_Clipped_217,Girl kisses boy,Eunice,Miguel,1,Mitchell
844,32,Free,1,0,8,Spatial_Clipped_217,Fireman lifts car,Eunice,Miguel,1,Mitchell
845,32,Free,1,0,9,Spatial_Clipped_218,Boy pokes heart,Eunice,Miguel,0,Mitchell
849,32,Free,1,0,13,Spatial_Clipped_219,Girl throws old lady,Eunice,Miguel,0,Mitchell
850,32,Free,1,0,14,Spatial_Clipped_219,Old lady rubs fireman,Eunice,Miguel,1,Mitchell
851,32,Free,1,0,15,Spatial_Clipped_219,Old lady kisses star,Eunice,Miguel,1,Mitchell
852,32,Free,1,0,16,Spatial_Clipped_219,Fireman kicks girl,Eunice,Miguel,1,Mitchell
854,32,Free,1,0,18,Spatial_Clipped_220,Girl elbows old lady,Eunice,Miguel,1,Mitchell
856,32,Free,1,0,20,Spatial_Clipped_220,Fireman throws star,Eunice,Miguel,1,Mitchell
857,32,Free,1,0,21,Spatial_Clipped_221,Boy lifts girl,Eunice,Miguel,1,Mitchell
858,32,Free,1,0,22,Spatial_Clipped_221,Girl rubs heart,Eunice,Miguel,1,Mitchell
860,32,Free,1,0,24,Spatial_Clipped_221,Old lady elbows ball,Eunice,Miguel,1,Mitchell
861,32,Free,1,0,25,Spatial_Clipped_222,Fireman pushes boy,Eunice,Miguel,1,Mitchell
863,32,Free,1,0,27,Spatial_Clipped_222,Girl pushes car,Eunice,Miguel,1,Mitchell
864,32,Free,1,0,28,Spatial_Clipped_222,Boy kicks ball,Eunice,Miguel,1,Mitchell
892,33,Free,1,0,8,Spatial_Clipped_229,Fireman lifts car,Caitlin,Miguel,1,Mitchell
893,33,Free,1,0,9,Spatial_Clipped_230,Boy pokes heart,Caitlin,Miguel,1,Mitchell
899,33,Free,1,0,15,Spatial_Clipped_231,Old lady kisses star,Caitlin,Miguel,1,Mitchell
904,33,Free,1,0,20,Spatial_Clipped_232,Fireman throws star,Caitlin,Miguel,0,Mitchell
905,33,Free,1,0,21,Spatial_Clipped_233,Boy lifts girl,Caitlin,Miguel,1,Mitchell
906,33,Free,1,0,22,Spatial_Clipped_233,Girl rubs heart,Caitlin,Miguel,1,Mitchell
908,33,Free,1,0,24,Spatial_Clipped_233,Old lady elbows ball,Caitlin,Miguel,1,Mitchell
911,33,Free,1,0,27,Spatial_Clipped_234,Girl pushes car,Caitlin,Miguel,1,Mitchell
960,34,Free,1,0,28,Spatial_Clipped_246,Girl kisses boy,Eunice,Miguel,0,Mitchell
971,36,Case,0,1,15,Spatial_Clipped_261,Girl elbows old lady,Eunice,Miguel,1,Mitchell
998,36,Free,1,0,18,Spatial_Clipped_256,Old lady kisses star,Eunice,Miguel,0,Mitchell
1012,37,Case,1,0,8,Spatial_Clipped_271,Fireman lifts car,Eunice,Miguel,1,Mitchell
1019,37,Case,1,0,15,Spatial_Clipped_273,Old lady kisses star,Eunice,Miguel,?,
1022,37,Case,0,1,18,Spatial_Clipped_274,Girl elbows old lady,Eunice,Miguel,1,Mitchell
1025,37,Case,0,1,21,Spatial_Clipped_275,Boy lifts girl,Eunice,Miguel,1,Mitchell
1028,37,Case,0,1,24,Spatial_Clipped_275,Old lady elbows ball,Eunice,Miguel,0,Mitchell
1029,37,Case,0,1,25,Spatial_Clipped_276,Fireman pushes boy,Eunice,Miguel,1,Mitchell
1031,37,Case,0,1,27,Spatial_Clipped_276,Girl pushes car,Eunice,Miguel,0,Mitchell
1032,37,Case,0,1,28,Spatial_Clipped_276,Boy kicks ball,Eunice,Miguel,0,Mitchell
1033,37,Free,1,0,5,Spatial_Clipped_265,Girl kisses boy,Eunice,Miguel,0,Mitchell
1037,37,Free,1,0,9,Spatial_Clipped_266,Boy pokes heart,Eunice,Miguel,0,Mitchell
1043,37,Free,1,0,15,Spatial_Clipped_267,Old lady kisses star,Eunice,Miguel,0,Mitchell
1048,37,Free,1,0,20,Spatial_Clipped_268,Fireman throws star,Eunice,Miguel,0,Mitchell
1061,38,Case,0,1,9,Spatial_Clipped_284,Old lady elbows ball,Eunice,Miguel,1,Mitchell
1070,38,Case,0,1,18,Spatial_Clipped_286,Old lady kisses star,Eunice,Miguel,1,Mitchell
1080,38,Case,0,1,28,Spatial_Clipped_288,Girl kisses boy,Eunice,Miguel,1,Mitchell
1085,38,Free,1,0,9,Spatial_Clipped_278,Old lady elbows ball,Eunice,Miguel,0,Mitchell
1087,38,Free,1,0,11,Spatial_Clipped_278,Girl rubs heart,Eunice,Miguel,?,
1088,38,Free,1,0,12,Spatial_Clipped_278,Boy lifts girl,Eunice,Miguel,0,Mitchell
1089,38,Free,1,0,13,Spatial_Clipped_279,Fireman throws star,Eunice,Miguel,0,Mitchell
1094,38,Free,1,0,18,Spatial_Clipped_280,Old lady kisses star,Eunice,Miguel,0,Mitchell
1100,38,Free,1,0,24,Spatial_Clipped_281,Boy pokes heart,Eunice,Miguel,?,
1105,46,Case,1,0,5,Spatial_Clipped_307,Boy kicks ball,Miguel,Caitlin,0,Mitchell
1106,46,Case,1,0,6,Spatial_Clipped_307,Girl pushes car,Miguel,Caitlin,0,Mitchell
1108,46,Case,1,0,8,Spatial_Clipped_307,Fireman pushes boy,Miguel,Caitlin,1,Mitchell
1109,46,Case,1,0,9,Spatial_Clipped_308,Old lady elbows ball,Miguel,Caitlin,1,Mitchell
1111,46,Case,1,0,11,Spatial_Clipped_308,Girl rubs heart,Miguel,Caitlin,1,Mitchell
1112,46,Case,1,0,12,Spatial_Clipped_308,Boy lifts girl,Miguel,Caitlin,1,Mitchell
1113,46,Case,1,0,13,Spatial_Clipped_309,Fireman throws star,Miguel,Caitlin,1,Mitchell
1115,46,Case,1,0,15,Spatial_Clipped_309,Girl elbows old lady,Miguel,Caitlin,1,Mitchell
1117,46,Case,1,0,17,Spatial_Clipped_310,Fireman kicks girl,Miguel,Caitlin,1,Mitchell
1118,46,Case,1,0,18,Spatial_Clipped_310,Old lady kisses star,Miguel,Caitlin,1,Mitchell
1119,46,Case,1,0,19,Spatial_Clipped_310,Old lady rubs fireman,Miguel,Caitlin,0,Mitchell
1120,46,Case,1,0,20,Spatial_Clipped_310,Girl throws old lady,Miguel,Caitlin,1,Mitchell
1124,46,Case,1,0,24,Spatial_Clipped_311,Boy pokes heart,Miguel,Caitlin,0,Mitchell
1125,46,Case,1,0,25,Spatial_Clipped_312,Fireman lifts car,Miguel,Caitlin,1,Mitchell
1126,46,Case,1,0,26,Spatial_Clipped_312,Old lady pokes fireman,Miguel,Caitlin,0,Mitchell
1128,46,Case,1,0,28,Spatial_Clipped_312,Girl kisses boy,Miguel,Caitlin,0,Mitchell
1153,47,Case,1,0,5,Spatial_Clipped_319,Girl kisses boy,Miguel,Mitchell,1,Caitlin
1156,47,Case,1,0,8,Spatial_Clipped_319,Fireman lifts car,Miguel,Mitchell,1,Caitlin
1157,47,Case,0,1,9,Spatial_Clipped_320,Boy pokes heart,Miguel,Mitchell,1,Caitlin
1162,47,Case,1,0,14,Spatial_Clipped_321,Old lady rubs fireman,Miguel,Mitchell,1,Caitlin
1164,47,Case,1,0,16,Spatial_Clipped_321,Fireman kicks girl,Miguel,Mitchell,1,Caitlin
1166,47,Case,1,0,18,Spatial_Clipped_322,Girl elbows old lady,Miguel,Mitchell,1,Caitlin
1168,47,Case,1,0,20,Spatial_Clipped_322,Fireman throws star,Miguel,Mitchell,1,Caitlin
1169,47,Case,1,0,21,Spatial_Clipped_323,Boy lifts girl,Miguel,Mitchell,1,Caitlin
1170,47,Case,1,0,22,Spatial_Clipped_323,Girl rubs heart,Miguel,Mitchell,1,Caitlin
1173,47,Case,1,0,25,Spatial_Clipped_324,Fireman pushes boy,Miguel,Mitchell,1,Caitlin
1175,47,Case,1,0,27,Spatial_Clipped_324,Girl pushes car,Miguel,Mitchell,1,Caitlin
1177,47,Free,0,1,5,Spatial_Clipped_313,Girl kisses boy,Miguel,Mitchell,0,Caitlin
1187,47,Free,0,1,15,Spatial_Clipped_315,Old lady kisses star,Miguel,Mitchell,1,Caitlin
1194,47,Free,0,1,22,Spatial_Clipped_317,Girl rubs heart,Miguel,Mitchell,1,Caitlin
1196,47,Free,0,1,24,Spatial_Clipped_317,Old lady elbows ball,Miguel,Mitchell,1,Caitlin
1297,50,Case,1,0,5,Spatial_Clipped_355,Boy kicks ball,Miguel,Mitchell,1,Caitlin
1298,50,Case,1,0,6,Spatial_Clipped_355,Girl pushes car,Miguel,Mitchell,1,Caitlin
1300,50,Case,1,0,8,Spatial_Clipped_355,Fireman pushes boy,Miguel,Mitchell,1,Caitlin
1301,50,Case,1,0,9,Spatial_Clipped_356,Old lady elbows ball,Miguel,Mitchell,1,Caitlin
1303,50,Case,1,0,11,Spatial_Clipped_356,Girl rubs heart,Miguel,Mitchell,1,Caitlin
1304,50,Case,1,0,12,Spatial_Clipped_356,Boy lifts girl,Miguel,Mitchell,1,Caitlin
1305,50,Case,1,0,13,Spatial_Clipped_357,Fireman throws star,Miguel,Mitchell,1,Caitlin
1307,50,Case,1,0,15,Spatial_Clipped_357,Girl elbows old lady,Miguel,Mitchell,1,Caitlin
1309,50,Case,1,0,17,Spatial_Clipped_358,Fireman kicks girl,Miguel,Mitchell,1,Caitlin
1310,50,Case,1,0,18,Spatial_Clipped_358,Old lady kisses star,Miguel,Mitchell,1,Caitlin
1311,50,Case,1,0,19,Spatial_Clipped_358,Old lady rubs fireman,Miguel,Mitchell,1,Caitlin
1312,50,Case,1,0,20,Spatial_Clipped_358,Girl throws old lady,Miguel,Mitchell,1,Caitlin
1316,50,Case,1,0,24,Spatial_Clipped_359,Boy pokes heart,Miguel,Mitchell,1,Caitlin
1317,50,Case,1,0,25,Spatial_Clipped_360,Fireman lifts car,Miguel,Mitchell,1,Caitlin
1318,50,Case,1,0,26,Spatial_Clipped_360,Old lady pokes fireman,Miguel,Mitchell,1,Caitlin
1320,50,Case,1,0,28,Spatial_Clipped_360,Girl kisses boy,Miguel,Mitchell,1,Caitlin
1345,52,Case,1,0,5,Spatial_Clipped_367,Boy kicks ball,Miguel,Caitlin,1,Mitchell
1346,52,Case,1,0,6,Spatial_Clipped_367,Girl pushes car,Miguel,Caitlin,1,Mitchell
1348,52,Case,1,0,8,Spatial_Clipped_367,Fireman pushes boy,Miguel,Caitlin,1,Mitchell
1349,52,Case,1,0,9,Spatial_Clipped_368,Old lady elbows ball,Miguel,Caitlin,1,Mitchell
1351,52,Case,1,0,11,Spatial_Clipped_368,Girl rubs heart,Miguel,Caitlin,1,Mitchell
1352,52,Case,1,0,12,Spatial_Clipped_368,Boy lifts girl,Miguel,Caitlin,1,Mitchell
1353,52,Case,1,0,13,Spatial_Clipped_369,Fireman throws star,Miguel,Caitlin,1,Mitchell
1355,52,Case,1,0,15,Spatial_Clipped_369,Girl elbows old lady,Miguel,Caitlin,1,Mitchell
1357,52,Case,1,0,17,Spatial_Clipped_370,Fireman kicks girl,Miguel,Caitlin,1,Mitchell
1358,52,Case,1,0,18,Spatial_Clipped_370,Old lady kisses star,Miguel,Caitlin,1,Mitchell
1359,52,Case,1,0,19,Spatial_Clipped_370,Old lady rubs fireman,Miguel,Caitlin,1,Mitchell
1360,52,Case,1,0,20,Spatial_Clipped_370,Girl throws old lady,Miguel,Caitlin,1,Mitchell
1364,52,Case,1,0,24,Spatial_Clipped_371,Boy pokes heart,Miguel,Caitlin,1,Mitchell
1365,52,Case,1,0,25,Spatial_Clipped_372,Fireman lifts car,Miguel,Caitlin,1,Mitchell
1366,52,Case,1,0,26,Spatial_Clipped_372,Old lady pokes fireman,Miguel,Caitlin,1,Mitchell
1368,52,Case,1,0,28,Spatial_Clipped_372,Girl kisses boy,Miguel,Caitlin,1,Mitchell
1370,52,Free,1,0,6,Spatial_Clipped_361,Girl pushes car,Miguel,Caitlin,1,Mitchell
1372,52,Free,1,0,8,Spatial_Clipped_361,Fireman pushes boy,Miguel,Caitlin,1,Mitchell
1373,52,Free,1,0,9,Spatial_Clipped_362,Old lady elbows ball,Miguel,Caitlin,1,Mitchell
1375,52,Free,1,0,11,Spatial_Clipped_362,Girl rubs heart,Miguel,Caitlin,1,Mitchell
1376,52,Free,1,0,12,Spatial_Clipped_362,Boy lifts girl,Miguel,Caitlin,1,Mitchell
1377,52,Free,1,0,13,Spatial_Clipped_363,Fireman throws star,Miguel,Caitlin,1,Mitchell
1379,52,Free,1,0,15,Spatial_Clipped_363,Girl elbows old lady,Miguel,Caitlin,1,Mitchell
1381,52,Free,1,0,17,Spatial_Clipped_364,Fireman kicks girl,Miguel,Caitlin,1,Mitchell
1382,52,Free,1,0,18,Spatial_Clipped_364,Old lady kisses star,Miguel,Caitlin,1,Mitchell
1383,52,Free,1,0,19,Spatial_Clipped_364,Old lady rubs fireman,Miguel,Caitlin,1,Mitchell
1390,52,Free,1,0,26,Spatial_Clipped_366,Old lady pokes fireman,Miguel,Caitlin,1,Mitchell
1392,52,Free,1,0,28,Spatial_Clipped_366,Girl kisses boy,Miguel,Caitlin,1,Mitchell
