"","Subject","Trial.Number","GestureCondition","Type.of.Action","Object.Type","Word.Order","Exclude","Spatial.Cue","Randomizer","Randomizer.Set","Clipped.Movie.File","Event","Word.Order.Recode","Exclude.Recode","Spatial.Cue.Recode","Used.ASL","X.Embodied..in.some.way","Comments","Spatial.Cue.Katy","SpatialCue","Final.Full.WordOrder","SpatialCue.FinalDecision"
"518",5,20,"Case","Transitive","Person","VSOV","",0,0.57197272,7,"Spatial_Clipped_082","Girl throws old lady","V,SOV","",1,"","","",NA,"Spatial.Present","VSOV","Spatial.Present"
"520",5,24,"Case","Transitive","Object","VOSV","",0,0.40937178,7,"Spatial_Clipped_083","Boy pokes heart","V,OSV","",1,"","","",NA,"Spatial.Present","VOSV","Spatial.Present"
"521",5,24,"Free","Transitive","Object","OSV","",1,0.211239834,7,"Spatial_Clipped_077","Boy pokes heart","OSV","",1,"","E","",NA,"Spatial.Present","OSV","Spatial.Present"
"522",5,25,"Case","Transitive","Object","VSOV","",0,0.39646493,7,"Spatial_Clipped_084","Fireman lifts car","V,SOV","",1,"","","",NA,"Spatial.Present","VSOV","Spatial.Present"
"523",5,25,"Free","Transitive","Object","OSV","",1,0.109972163,7,"Spatial_Clipped_078","Fireman lifts car","OSV","",1,"","E","",NA,"Spatial.Present","OSV","Spatial.Present"
"524",5,26,"Case","Transitive","Person","VSOV","",0,0.39646493,7,"Spatial_Clipped_084","Old lady pokes fireman","V,SOV","",1,"","","",NA,"Spatial.Present","VSOV","Spatial.Present"
"525",5,26,"Free","Transitive","Person","OSV","",1,0.109972163,7,"Spatial_Clipped_078","Old lady pokes fireman","OSV","",1,"","E","",NA,"Spatial.Present","OSV","Spatial.Present"
"526",5,28,"Case","Transitive","Person","VOSV","",0,0.39646493,7,"Spatial_Clipped_084","Girl kisses boy","V,OSV","",1,"","","",NA,"Spatial.Present","VOSV","Spatial.Present"
"527",5,28,"Free","Transitive","Person","OSV","",1,0.109972163,7,"Spatial_Clipped_078","Girl kisses boy","OSV","",1,"","E","",NA,"Spatial.Present","OSV","Spatial.Present"
"528",5,5,"Case","Transitive","Object","OSV","",1,0.587043134,7,"Spatial_Clipped_079","Boy kicks ball","OSV","X",0,"","","",NA,"Spatial.Present","OSV","Spatial.Present"
"529",5,5,"Free","Transitive","Object","SOV","",1,0.954845632,7,"Spatial_Clipped_073","Boy kicks ball","SOV","",0,"","E","",NA,"Spatial.Present","SOV","Spatial.Present"
"530",5,6,"Case","Transitive","Object","VSO","",0,0.587043134,7,"Spatial_Clipped_079","Girl pushes car","V,SOV","",1,"","","",NA,"Spatial.Present","VSOV","Spatial.Present"
"531",5,6,"Free","Transitive","Object","SOV","",1,0.954845632,7,"Spatial_Clipped_073","Girl pushes car","SOV","",1,"","E","",NA,"Spatial.Present","SOV","Spatial.Present"
"532",5,8,"Case","Transitive","Person","VSOV","",0,0.587043134,7,"Spatial_Clipped_079","Fireman pushes boy","V,SOV","",1,"","","",NA,"Spatial.Present","VSOV","Spatial.Present"
"534",5,9,"Case","Transitive","Object","VOSV","",0,0.724345456,7,"Spatial_Clipped_080","Old lady elbows ball","V,OSV","",1,"","","",NA,"Spatial.Present","VOSV","Spatial.Present"
"535",5,9,"Free","Transitive","Object","OSV","",1,0.982024112,7,"Spatial_Clipped_074","Old lady elbows ball","OSV","",1,"","E","",NA,"Spatial.Present","OSV","Spatial.Present"
"536",50,11,"Case","Transitive","Object","OSV","",1,0.668533537,31,"Spatial_Clipped_356","Girl rubs heart","(sov)","",0,"no","","",NA,"Spatial.Present","OSV","Spatial.Present"
"537",50,12,"Case","Transitive","Person","(SO)V","",1,0.668533537,31,"Spatial_Clipped_356","Boy lifts girl","(sov)","",0,"no","","",NA,"Spatial.Present","SOV","Spatial.Present"
"538",50,13,"Case","Transitive","Object","OSV","",1,0.773691104,31,"Spatial_Clipped_357","Fireman throws star","ov","",0,"no","","",NA,"Spatial.Present","OSV","Spatial.Present"
"539",50,15,"Case","Transitive","Person","OSV","",1,0.773691104,31,"Spatial_Clipped_357","Girl elbows old lady","(sov)","",0,"no","","",NA,"Spatial.Present","OSV","Spatial.Present"
"540",50,17,"Case","Transitive","Person","(SO)V","",1,0.714962309,31,"Spatial_Clipped_358","Fireman kicks girl","(sov)","",0,"no","","",NA,"Spatial.Present","SOV","Spatial.Present"
"542",50,18,"Case","Transitive","Object","OSV","",1,0.714962309,31,"Spatial_Clipped_358","Old lady kisses star","ov","",0,"no","","",NA,"Spatial.Present","SOV","Spatial.Present"
"543",50,19,"Case","Transitive","Person","SOV","",1,0.714962309,31,"Spatial_Clipped_358","Old lady rubs fireman","(sov)","",0,"no","","",NA,"Spatial.Present","OSV","Spatial.Present"
"544",50,20,"Case","Transitive","Person","(SO)V","",1,0.714962309,31,"Spatial_Clipped_358","Girl throws old lady","(sov)","",0,"no","","",NA,"Spatial.Present","OSV","Spatial.Present"
"545",50,24,"Case","Transitive","Object","OSV","",1,0.873897921,31,"Spatial_Clipped_359","Boy pokes heart","(sov)","",0,"no","","",NA,"Spatial.Present","SOV","Spatial.Present"
"546",50,25,"Case","Transitive","Object","SOV","",1,0.567986286,31,"Spatial_Clipped_360","Fireman lifts car","(sov)","",0,"no","","",NA,"Spatial.Present","SOV","Spatial.Present"
"547",50,26,"Case","Transitive","Person","(SO)V","",1,0.567986286,31,"Spatial_Clipped_360","Old lady pokes fireman","(sov)","",0,"no","","",NA,"Spatial.Present","OSV","Spatial.Present"
"548",50,28,"Case","Transitive","Person","(SO)V","",1,0.567986286,31,"Spatial_Clipped_360","Girl kisses boy","(sov)","",0,"no","","",NA,"Spatial.Present","(SO)V","Spatial.Present"
"550",50,5,"Case","Transitive","Object","OSV","",1,0.770799522,31,"Spatial_Clipped_355","Boy kicks ball","(sov)","",0,"no","","",NA,"Spatial.Present","OSV","Spatial.Present"
"551",50,6,"Case","Transitive","Object","SOV","",1,0.770799522,31,"Spatial_Clipped_355","Girl pushes car","(sov)","",0,"no","","",NA,"Spatial.Present","SOV","Spatial.Present"
"552",50,8,"Case","Transitive","Person","(SO)V","",1,0.770799522,31,"Spatial_Clipped_355","Fireman pushes boy","(sov)","",0,"no","","",NA,"Spatial.Present","SOV","Spatial.Present"
"553",50,9,"Case","Transitive","Object","OSV","",1,0.668533537,31,"Spatial_Clipped_356","Old lady elbows ball","(sov)","",0,"no","","",NA,"Spatial.Present","OSV","Spatial.Present"
"554",52,11,"Case","Transitive","Object","OSOV","",1,0.711142849,32,"Spatial_Clipped_368","Girl rubs heart","OSOV","",0,"No","No","",NA,"Spatial.Present","OSOV","Spatial.Present"
"555",52,11,"Free","Transitive","Object","OSOV","",1,0.004584409,32,"Spatial_Clipped_362","Girl rubs heart","OSOV","",0,"No","No","",NA,"Spatial.Present","OSOV","Spatial.Present"
"556",52,12,"Case","Transitive","Person","SOSOV","",1,0.711142849,32,"Spatial_Clipped_368","Boy lifts girl","SOV","",0,"No","Yes","",NA,"Spatial.Present","SOSOV","Spatial.Present"
"557",52,12,"Free","Transitive","Person","SOV","",1,0.004584409,32,"Spatial_Clipped_362","Boy lifts girl","SOV","",0,"No","Yes","",NA,"Spatial.Present","SOV","Spatial.Present"
"558",52,13,"Case","Transitive","Object","SOSV","",1,0.932850429,32,"Spatial_Clipped_369","Fireman throws star","SOV","",0,"No","No","",NA,"Spatial.Present","SOV","Spatial.Present"
"559",52,13,"Free","Transitive","Object","SOV","",1,0.279385616,32,"Spatial_Clipped_363","Fireman throws star","SOV","",0,"No","No","",NA,"Spatial.Present","SOV","Spatial.Present"
"560",52,15,"Case","Transitive","Person","OSOV","",1,0.932850429,32,"Spatial_Clipped_369","Girl elbows old lady","SOV","",0,"No","No","",NA,"Spatial.Present","OSOV","Spatial.Present"
"561",52,15,"Free","Transitive","Person","SOV","",1,0.279385616,32,"Spatial_Clipped_363","Girl elbows old lady","SOV","",0,"No","No","",NA,"Spatial.Present","SOV","Spatial.Present"
"562",52,17,"Case","Transitive","Person","SOV","",1,0.238102158,32,"Spatial_Clipped_370","Fireman kicks girl","SOV","",0,"No","No","",NA,"Spatial.Present","SOV","Spatial.Present"
"563",52,17,"Free","Transitive","Person","SOV","",1,0.149412421,32,"Spatial_Clipped_364","Fireman kicks girl","SOV","",0,"No","No","",NA,"Spatial.Present","SOV","Spatial.Present"
"564",52,18,"Case","Transitive","Object","SOV","",1,0.238102158,32,"Spatial_Clipped_370","Old lady kisses star","SOV","",0,"No","Yes","",NA,"Spatial.Present","SOV","Spatial.Present"
"565",52,19,"Case","Transitive","Person","SOV","",1,0.238102158,32,"Spatial_Clipped_370","Old lady rubs fireman","SOV","",0,"No","No","",NA,"Spatial.Present","SOV","Spatial.Present"
"566",52,19,"Free","Transitive","Person","OSV","",1,0.149412421,32,"Spatial_Clipped_364","Old lady rubs fireman","SOV","",0,"No","Yes","",NA,"Spatial.Present","OSV","Spatial.Present"
"567",52,20,"Case","Transitive","Person","SOSVO","",1,0.238102158,32,"Spatial_Clipped_370","Girl throws old lady","SOV","",0,"No","No","",NA,"Spatial.Present","SOSOV","Spatial.Present"
"569",52,24,"Case","Transitive","Object","OSOV","",1,0.490043106,32,"Spatial_Clipped_371","Boy pokes heart","OSV","",0,"No","No","",NA,"Spatial.Present","OSSOV","Spatial.Present"
"571",52,25,"Case","Transitive","Object","SOV","",1,0.249940587,32,"Spatial_Clipped_372","Fireman lifts car","SOV","",0,"No","Yes","",NA,"Spatial.Present","SOV","Spatial.Present"
"573",52,26,"Case","Transitive","Person","SOV","",1,0.249940587,32,"Spatial_Clipped_372","Old lady pokes fireman","SOV","",0,"No","No","",NA,"Spatial.Present","SOV","Spatial.Present"
"574",52,26,"Free","Transitive","Person","SOV","",1,0.053072522,32,"Spatial_Clipped_366","Old lady pokes fireman","SOV","",0,"No","No","",NA,"Spatial.Present","SOV","Spatial.Present"
"575",52,28,"Case","Transitive","Person","OSOV","",1,0.249940587,32,"Spatial_Clipped_372","Girl kisses boy","OSV","",0,"No","No","",NA,"Spatial.Present","OSOSV","Spatial.Present"
"576",52,28,"Free","Transitive","Person","SOV","",1,0.053072522,32,"Spatial_Clipped_366","Girl kisses boy","SOV","",0,"No","Yes","",NA,"Spatial.Present","SOV","Spatial.Present"
"577",52,5,"Case","Transitive","Object","SOV","",1,0.833462572,32,"Spatial_Clipped_367","Boy kicks ball","OSV","",0,"No","No","",NA,"Spatial.Present","OSSOV","Spatial.Present"
"579",52,6,"Case","Transitive","Object","SVO","",1,0.833462572,32,"Spatial_Clipped_367","Girl pushes car","SOV","",0,"No","No","",NA,"Spatial.Present","SOSV","Spatial.Present"
"580",52,6,"Free","Transitive","Object","OSVO","",1,0.154429317,32,"Spatial_Clipped_361","Girl pushes car","OSV","",0,"No","No","",NA,"Spatial.Present","OSV","Spatial.Present"
"581",52,8,"Case","Transitive","Person","SOSOV","",1,0.833462572,32,"Spatial_Clipped_367","Fireman pushes boy","SOV","",0,"No","No","",NA,"Spatial.Present","SOSOV","Spatial.Present"
"582",52,8,"Free","Transitive","Person","SOSVO","",1,0.154429317,32,"Spatial_Clipped_361","Fireman pushes boy","SOV","",0,"No","Yes","",NA,"Spatial.Present","SOSVO","Spatial.Present"
"583",52,9,"Case","Transitive","Object","OSOSV","",1,0.711142849,32,"Spatial_Clipped_368","Old lady elbows ball","OSOSV","",0,"No","Yes","",NA,"Spatial.Present","OSOSV","Spatial.Present"
"584",53,13,"Case","Transitive","Person","SOV","",1,0.535838481,33,"Spatial_Clipped_381","Girl throws old lady","sov","",0,"no","A","in clip 380",NA,"Spatial.Present","SOV","Spatial.Present"
"586",53,14,"Case","Transitive","Person","SOV","",1,0.535838481,33,"Spatial_Clipped_381","Old lady rubs fireman","sov","",0,"no","A","in clip 380",NA,"Spatial.Present","SOV","Spatial.Present"
"588",53,15,"Case","Transitive","Object","SOV","",1,0.535838481,33,"Spatial_Clipped_381","Old lady kisses star","sov","",0,"no","A","in clip 380",NA,"Spatial.Present","SOV","Spatial.Present"
"590",53,16,"Case","Transitive","Person","SOV","",1,0.535838481,33,"Spatial_Clipped_381","Fireman kicks girl","sov","",0,"no","A","in clip 380",NA,"Spatial.Present","SOV","Spatial.Present"
"592",53,18,"Case","Transitive","Person","SOV","",1,0.439572124,33,"Spatial_Clipped_382","Girl elbows old lady","sov","",0,"no","A","in clip 381",NA,"Spatial.Present","SOV","Spatial.Present"
"594",53,20,"Case","Transitive","Object","SOV","",1,0.439572124,33,"Spatial_Clipped_382","Fireman throws star","sov","",0,"no","A","in clip 381",NA,"Spatial.Present","SOV","Spatial.Present"
"596",53,21,"Case","Transitive","Person","SOV","",1,0.511058421,33,"Spatial_Clipped_383","Boy lifts girl","sov","",0,"no","A","in clip 382",NA,"Spatial.Present","SOV","Spatial.Present"
"598",53,22,"Case","Transitive","Object","SOV","",1,0.511058421,33,"Spatial_Clipped_383","Girl rubs heart","sov","",0,"no","A","in clip 382",NA,"Spatial.Present","SOV","Spatial.Present"
"600",53,24,"Case","Transitive","Object","SOV","",1,0.511058421,33,"Spatial_Clipped_383","Old lady elbows ball","sov","",0,"no","A","in clip 382",NA,"Spatial.Present","SOV","Spatial.Present"
"602",53,25,"Case","Transitive","Person","SOV","",1,0.245983154,33,"Spatial_Clipped_384","Fireman pushes boy","sov","",0,"no","A","in clip 383",NA,"Spatial.Present","SOV","Spatial.Present"
"604",53,27,"Case","Transitive","Object","SOV","",1,0.245983154,33,"Spatial_Clipped_384","Girl pushes car","sov","",0,"no","A","in clip 383",NA,"Spatial.Present","SOV","Spatial.Present"
"605",53,28,"Case","Transitive","Object","SOV","",1,0.245983154,33,"Spatial_Clipped_384","Boy kicks ball","sov","",0,"no","A","in clip 383",NA,"Spatial.Present","SOV","Spatial.Present"
"607",53,5,"Case","Transitive","Person","SOV","",1,0.073995485,33,"Spatial_Clipped_379","Girl kisses boy","sov","",0,"no","A","in clip 378",NA,"Spatial.Present","SOV","Spatial.Present"
"609",53,7,"Case","Transitive","Person","SOV","",1,0.073995485,33,"Spatial_Clipped_379","Old lady pokes fireman","sov","",0,"no","A","in clip 378",NA,"Spatial.Present","SOV","Spatial.Present"
"611",53,8,"Case","Transitive","Object","SOV","",1,0.073995485,33,"Spatial_Clipped_379","Fireman lifts car","sov","",0,"no","A","in clip 378",NA,"Spatial.Present","SOV","Spatial.Present"
"612",53,9,"Case","Transitive","Object","SOV","",1,0.974837096,33,"Spatial_Clipped_380","Boy pokes heart","sov","",0,"no","A","in clip 379",NA,"Spatial.Present","SOV","Spatial.Present"
"614",58,11,"Case","Transitive","Object","OSV","",1,0.118076749,36,"Spatial_Clipped_416","Girl rubs heart","OSV","",0,"No","AV","",1,"Spatial.Present","OSV","Spatial.Present"
"616",58,12,"Case","Transitive","Person","SOV","",1,0.118076749,36,"Spatial_Clipped_416","Boy lifts girl","SOV","",0,"No","AP","",1,"Spatial.Present","SOV","Spatial.Present"
"618",58,13,"Case","Transitive","Object","SOV","",1,0.000491724,36,"Spatial_Clipped_417","Fireman throws star","SOV","",0,"No","AV","",1,"Spatial.Present","SOV","Spatial.Present"
"620",58,15,"Case","Transitive","Person","SOV","",1,0.000491724,36,"Spatial_Clipped_417","Girl elbows old lady","SOV","",0,"No","AVP","",1,"Spatial.Present","SOV","Spatial.Present"
"622",58,17,"Case","Transitive","Person","SOV","",1,0.970037296,36,"Spatial_Clipped_418","Fireman kicks girl","SOV","",1,"No","AP","",1,"Spatial.Present","SOV","Spatial.Present"
"624",58,18,"Case","Transitive","Object","SOV","",1,0.970037296,36,"Spatial_Clipped_418","Old lady kisses star","SOV","",1,"No","AV","",1,"Spatial.Present","SOV","Spatial.Present"
"626",58,19,"Case","Transitive","Person","SOV","",1,0.970037296,36,"Spatial_Clipped_418","Old lady rubs fireman","SOV","",1,"No","AVP","",1,"Spatial.Present","SOV","Spatial.Present"
"628",58,20,"Case","Transitive","Person","SOV","",1,0.970037296,36,"Spatial_Clipped_418","Girl throws old lady","SOV","",1,"No","AP","",1,"Spatial.Present","SOV","Spatial.Present"
"630",58,24,"Case","Transitive","Object","SOV","",1,0.008146663,36,"Spatial_Clipped_419","Boy pokes heart","SOV","",1,"No","AV","",1,"Spatial.Present","SOV","Spatial.Present"
"632",58,25,"Case","Transitive","Object","SOV","",1,0.729826923,36,"Spatial_Clipped_420","Fireman lifts car","SOV","",1,"No","AV","",1,"Spatial.Present","SOV","Spatial.Present"
"634",58,26,"Case","Transitive","Person","SOV","",1,0.729826923,36,"Spatial_Clipped_420","Old lady pokes fireman","SOV","",1,"No","AVP","",1,"Spatial.Present","SOV","Spatial.Present"
"636",58,28,"Case","Transitive","Person","SOV","",1,0.729826923,36,"Spatial_Clipped_420","Girl kisses boy","SOV","",1,"No","AVP","",1,"Spatial.Present","SOV","Spatial.Present"
"639",58,6,"Case","Transitive","Object","SVO","",1,0.807278317,36,"Spatial_Clipped_415","Girl pushes car","SVO","",0,"No","AV","",0,"Spatial.Present","SVO","Spatial.Present"
"640",58,8,"Case","Transitive","Person","SVO","",1,0.807278317,36,"Spatial_Clipped_415","Fireman pushes boy","SVO","",0,"No","AVP","",1,"Spatial.Present","SVO","Spatial.Present"
"644",6,11,"Case","Transitive","Object","SOV","",1,0.637397157,8,"Spatial_Clipped_092","Girl rubs heart","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"646",6,12,"Case","Transitive","Person","SOV","",1,0.637397157,8,"Spatial_Clipped_092","Boy lifts girl","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"648",6,13,"Case","Transitive","Object","SOV","",1,0.696495536,8,"Spatial_Clipped_093","Fireman throws star","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"650",6,15,"Case","Transitive","Person","SOV","",1,0.696495536,8,"Spatial_Clipped_093","Girl elbows old lady","SOV","",1,"","E","",NA,"Spatial.Present","SOV","Spatial.Present"
"652",6,17,"Case","Transitive","Person","SOV","",1,0.433357349,8,"Spatial_Clipped_094","Fireman kicks girl","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"654",6,18,"Case","Transitive","Object","SOV","",1,0.433357349,8,"Spatial_Clipped_094","Old lady kisses star","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"656",6,19,"Case","Transitive","Person","SOV","",1,0.433357349,8,"Spatial_Clipped_094","Old lady rubs fireman","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"658",6,20,"Case","Transitive","Person","SOV","",1,0.433357349,8,"Spatial_Clipped_094","Girl throws old lady","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"660",6,24,"Case","Transitive","Object","SOV","",1,0.941869177,8,"Spatial_Clipped_095","Boy pokes heart","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"662",6,25,"Case","Transitive","Object","SOV","",1,0.794983645,8,"Spatial_Clipped_096","Fireman lifts car","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"664",6,26,"Case","Transitive","Person","SOV","",1,0.794983645,8,"Spatial_Clipped_096","Old lady pokes fireman","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"666",6,28,"Case","Transitive","Person","SOV","",1,0.794983645,8,"Spatial_Clipped_096","Girl kisses boy","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"668",6,5,"Case","Transitive","Object","SOV","",1,0.615861825,8,"Spatial_Clipped_091","Boy kicks ball","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"669",6,6,"Case","Transitive","Object","SOV","",0,0.615861825,8,"Spatial_Clipped_091","Girl pushes car","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"671",6,8,"Case","Transitive","Person","SOV","",1,0.615861825,8,"Spatial_Clipped_091","Fireman pushes boy","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"673",6,9,"Case","Transitive","Object","SOV","",0,0.637397157,8,"Spatial_Clipped_092","Old lady elbows ball","SOV","",1,"","E","",NA,"Spatial.Present","SOV","Spatial.Present"
"675",60,12,"Case","Transitive","Person","(SO)V","",0,0.995133626,37,"Spatial_Clipped_428","Boy lifts girl","S(OV)","",1,"No","No","",NA,"Spatial.Present","(SO)V","Spatial.Present"
"676",60,12,"Free","Transitive","Person","(SO)V","",1,0.898610928,37,"Spatial_Clipped_422","Boy lifts girl","OSV","",1,"No","No","",NA,"Spatial.Present","(SO)V","Spatial.Present"
"677",60,13,"Case","Transitive","Object","OSV","",1,0.426085035,37,"Spatial_Clipped_429","Fireman throws star","OSV","",1,"No","No","",NA,"Spatial.Present","OSV","Spatial.Present"
"678",60,15,"Case","Transitive","Person","(SO)V","",1,0.426085035,37,"Spatial_Clipped_429","Girl elbows old lady","OSV","",1,"No","No","",NA,"Spatial.Present","(SO)V","Spatial.Present"
"680",60,17,"Case","Transitive","Person","(SO)V","",1,0.86110598,37,"Spatial_Clipped_430","Fireman kicks girl","(SO)V","",1,"No","No","",NA,"Spatial.Present","(SO)V","Spatial.Present"
"681",60,18,"Case","Transitive","Object","OSV","",1,0.86110598,37,"Spatial_Clipped_430","Old lady kisses star","OSV","",1,"No","No","",NA,"Spatial.Present","OSV","Spatial.Present"
"682",60,19,"Case","Transitive","Person","(SO)V","",1,0.86110598,37,"Spatial_Clipped_430","Old lady rubs fireman","SOV","",1,"No","No","",NA,"Spatial.Present","(SO)V","Spatial.Present"
"683",60,20,"Case","Transitive","Person","(SO)V","",1,0.86110598,37,"Spatial_Clipped_430","Girl throws old lady","SOV","",1,"No","No","",NA,"Spatial.Present","(SO)V","Spatial.Present"
"684",60,20,"Free","Transitive","Person","(SO)V","",1,0.236126305,37,"Spatial_Clipped_424","Girl throws old lady","(SO)V","",1,"No","No","",NA,"Spatial.Present","(SO)V","Spatial.Present"
"685",60,24,"Case","Transitive","Object","OSV","",1,0.207511721,37,"Spatial_Clipped_431","Boy pokes heart","OSV","",1,"No","No","",NA,"Spatial.Present","OSV","Spatial.Present"
"686",60,24,"Free","Transitive","Object","OSV","",1,0.944497256,37,"Spatial_Clipped_425","Boy pokes heart","OSV","",1,"No","Yes","",NA,"Spatial.Present","OSV","Spatial.Present"
"687",60,25,"Case","Transitive","Object","OSV","",1,0.848962613,37,"Spatial_Clipped_432","Fireman lifts car","OSV","",1,"No","No","",NA,"Spatial.Present","OSV","Spatial.Present"
"688",60,25,"Free","Transitive","Object","SOV","",0,0.986814068,37,"Spatial_Clipped_426","Fireman lifts car","OSV","",1,"No","Yes","",NA,"Spatial.Present","SOV","Spatial.Present"
"689",60,26,"Case","Transitive","Person","(SO)V","",1,0.848962613,37,"Spatial_Clipped_432","Old lady pokes fireman","(SO)V","",1,"No","No","",NA,"Spatial.Present","(SO)V","Spatial.Present"
"690",60,28,"Case","Transitive","Person","SOV","",1,0.848962613,37,"Spatial_Clipped_432","Girl kisses boy","OSV","",1,"No","No","",NA,"Spatial.Present","OSV","Spatial.Present"
"691",60,28,"Free","Transitive","Person","SOV","",1,0.986814068,37,"Spatial_Clipped_426","Girl kisses boy","SOV","",0,"No","Yes","",NA,"Spatial.Present","SOV","Spatial.Present"
"692",60,5,"Case","Transitive","Object","OSV","",1,0.814049125,37,"Spatial_Clipped_427","Boy kicks ball","OSV","",1,"No","No","",NA,"Spatial.Present","OSV","Spatial.Present"
"693",60,5,"Free","Transitive","Object","SOV","",0,0.042754096,37,"Spatial_Clipped_421","Boy kicks ball","SOV","",1,"No","Yes","",NA,"Spatial.Present","SOV","Spatial.Present"
"694",60,8,"Case","Transitive","Person","(SO)V","",1,0.814049125,37,"Spatial_Clipped_427","Fireman pushes boy","(SO)V","",1,"No","No","",NA,"Spatial.Present","(SO)V","Spatial.Present"
"695",60,9,"Case","Transitive","Object","OVOSV","",1,0.995133626,37,"Spatial_Clipped_428","Old lady elbows ball","OV/OSV","",1,"No","Yes","",NA,"Spatial.Present","OVOSV","Spatial.Present"
"696",61,13,"Case","Transitive","Person","(SO)V","",1,0.08833063,38,"Spatial_Clipped_441","Girl throws old lady","SOV","",1,"No","No","",NA,"Spatial.Present","(SO)V","Spatial.Present"
"697",61,13,"Free","Transitive","Person","SOV","",1,0.777655437,38,"Spatial_Clipped_435","Girl throws old lady","SOV","",1,"No","No","",NA,"Spatial.Present","SOV","Spatial.Present"
"698",61,14,"Case","Transitive","Person","OSV","",1,0.08833063,38,"Spatial_Clipped_441","Old lady rubs fireman","SOV","",1,"No","No","",NA,"Spatial.Present","OSV","Spatial.Present"
"699",61,14,"Free","Transitive","Person","SOV","",1,0.777655437,38,"Spatial_Clipped_435","Old lady rubs fireman","SOV","",1,"No","No","",NA,"Spatial.Present","SOV","Spatial.Present"
"700",61,15,"Case","Transitive","Object","OSV","",1,0.08833063,38,"Spatial_Clipped_441","Old lady kisses star","OSV","",1,"No","No","",NA,"Spatial.Present","OSV","Spatial.Present"
"701",61,15,"Free","Transitive","Object","(SO)V","",1,0.777655437,38,"Spatial_Clipped_435","Old lady kisses star","(SO)V","",1,"No","No","",NA,"Spatial.Present","(SO)V","Spatial.Present"
"702",61,16,"Case","Transitive","Person","(SO)V","",1,0.08833063,38,"Spatial_Clipped_441","Fireman kicks girl","(SO)V","",1,"No","No","",NA,"Spatial.Present","(SO)V","Spatial.Present"
"703",61,16,"Free","Transitive","Person","SOV","",1,0.777655437,38,"Spatial_Clipped_435","Fireman kicks girl","(SO)V","",1,"No","No","",NA,"Spatial.Present","(SO)V","Spatial.Present"
"704",61,18,"Case","Transitive","Person","(SO)V","",1,0.520070256,38,"Spatial_Clipped_442","Girl elbows old lady","(SO)V","",1,"No","No","",NA,"Spatial.Present","(SO)V","Spatial.Present"
"705",61,18,"Free","Transitive","Person","(SO)V","",1,0.360093994,38,"Spatial_Clipped_436","Girl elbows old lady","(SO)V","",1,"No","No","",NA,"Spatial.Present","(SO)V","Spatial.Present"
"706",61,20,"Case","Transitive","Object","SOV","",1,0.520070256,38,"Spatial_Clipped_442","Fireman throws star","OSV","",1,"No","No","",NA,"Spatial.Present","SOV","Spatial.Present"
"707",61,20,"Free","Transitive","Object","SOV","",1,0.360093994,38,"Spatial_Clipped_436","Fireman throws star","SOV","",1,"No","No","",NA,"Spatial.Present","SOV","Spatial.Present"
"708",61,21,"Case","Transitive","Person","(SO)V","",1,0.08533088,38,"Spatial_Clipped_443","Boy lifts girl","(SO)V","",1,"No","No","",NA,"Spatial.Present","(SO)V","Spatial.Present"
"709",61,21,"Free","Transitive","Person","(SO)V","",1,0.949797394,38,"Spatial_Clipped_437","Boy lifts girl","SOV","",1,"No","No","",NA,"Spatial.Present","(SO)V","Spatial.Present"
"710",61,22,"Case","Transitive","Object","OSV","",1,0.08533088,38,"Spatial_Clipped_443","Girl rubs heart","SOV","",1,"No","No","",NA,"Spatial.Present","OSV","Spatial.Present"
"711",61,22,"Free","Transitive","Object","OSV","",1,0.949797394,38,"Spatial_Clipped_437","Girl rubs heart","OSV","",1,"No","No","",NA,"Spatial.Present","OSV","Spatial.Present"
"712",61,24,"Case","Transitive","Object","OSV","",1,0.08533088,38,"Spatial_Clipped_443","Old lady elbows ball","OSV","",1,"No","No","",NA,"Spatial.Present","OSV","Spatial.Present"
"713",61,24,"Free","Transitive","Object","(SO)V","",1,0.949797394,38,"Spatial_Clipped_437","Old lady elbows ball","(SO)V","",1,"No","No","",NA,"Spatial.Present","(SO)V","Spatial.Present"
"714",61,25,"Case","Transitive","Person","(SO)V","",1,0.255991968,38,"Spatial_Clipped_444","Fireman pushes boy","(SO)V","",1,"No","No","",NA,"Spatial.Present","(SO)V","Spatial.Present"
