"","Subject","Trial.Number","GestureCondition","Type.of.Action","Object.Type","Word.Order","Exclude","Spatial.Cue","Randomizer","Randomizer.Set","Clipped.Movie.File","Event","Word.Order.Recode","Exclude.Recode","Spatial.Cue.Recode","Used.ASL","X.Embodied..in.some.way","Comments","Spatial.Cue.Katy","SpatialCue","Final.Full.WordOrder","SpatialCue.FinalDecision"
"207",30,17,"Case","Transitive","Person","SOV","",0,0.89061463,16,"Spatial_Clipped_202","Fireman kicks girl","SOV","",1,"","","",NA,"Spatial.Present","SOV","Spatial.Present"
"209",30,18,"Case","Transitive","Object","SOV","",0,0.89061463,16,"Spatial_Clipped_202","Old lady kisses star","SVO","",1,"","E","",NA,"Spatial.Present","SOSVO","Spatial.Present"
"211",30,19,"Case","Transitive","Person","SO?","1",0,0.89061463,16,"Spatial_Clipped_202","Old lady rubs fireman","SVO","",1,"","E","",NA,"Spatial.Present","SOVOSVO","Spatial.Present"
"213",30,24,"Case","Transitive","Object","OSVVO","1",0,0.005002252,16,"Spatial_Clipped_203","Boy pokes heart","OSVO","X",1,"","","",NA,"Spatial.Present","OSVO","Spatial.Present"
"215",30,25,"Case","Transitive","Object","OSOV","",0,0.418612867,16,"Spatial_Clipped_204","Fireman lifts car","OSVO","X",1,"","E","",NA,"Spatial.Present","OSOV","Spatial.Present"
"217",30,28,"Case","Transitive","Person","SOSVO","1",0,0.418612867,16,"Spatial_Clipped_204","Girl kisses boy","SVO","",1,"","E","",NA,"Spatial.Present","SOSVO","Spatial.Present"
"220",30,6,"Free","Transitive","Object","OVS","",0,0.140407768,16,"Spatial_Clipped_193","Girl pushes car","OSV","",1,"","E","",NA,"Spatial.Present","OVS","Spatial.Present"
"222",30,8,"Free","Transitive","Person","VO","",0,0.140407768,16,"Spatial_Clipped_193","Fireman pushes boy","OSV","",1,"","","",NA,"Spatial.Present","VOSOV","Spatial.Present"
"223",31,11,"Case","Transitive","Object","SOV","",1,0.46324278,17,"Spatial_Clipped_212","Girl rubs heart","SOV","",1,"","","",1,"Spatial.Present","SOV","Spatial.Present"
"225",31,12,"Case","Transitive","Person","SOV","",1,0.46324278,17,"Spatial_Clipped_212","Boy lifts girl","SOV","",1,"","","",1,"Spatial.Present","SOV","Spatial.Present"
"227",31,13,"Case","Transitive","Object","SOV","",1,0.19961193,17,"Spatial_Clipped_213","Fireman throws star","SOV","",1,"","","",1,"Spatial.Present","SOV","Spatial.Present"
"229",31,15,"Case","Transitive","Person","SOV","",1,0.19961193,17,"Spatial_Clipped_213","Girl elbows old lady","SOV","",1,"","","",1,"Spatial.Present","SOV","Spatial.Present"
"231",31,17,"Case","Transitive","Person","SOV","",1,0.559722876,17,"Spatial_Clipped_214","Fireman kicks girl","SOV","",1,"","","",1,"Spatial.Present","SOV","Spatial.Present"
"233",31,18,"Case","Transitive","Object","SOV","",1,0.559722876,17,"Spatial_Clipped_214","Old lady kisses star","SOV","",1,"","","",1,"Spatial.Present","SOV","Spatial.Present"
"235",31,19,"Case","Transitive","Person","SOV","",1,0.559722876,17,"Spatial_Clipped_214","Old lady rubs fireman","SOV","",1,"","","",1,"Spatial.Present","SOV","Spatial.Present"
"237",31,20,"Case","Transitive","Person","SOV","",1,0.559722876,17,"Spatial_Clipped_214","Girl throws old lady","SOV","",1,"","","",1,"Spatial.Present","SOV","Spatial.Present"
